,Item Description,Category
175,Uv Grape Vodka,1031200.0
177,Hawkeye Gin,1041100.0
178,Woodford Reserve,1011200.0
180,Uv Ivory (vanilla) Vodka,1031200.0
181,Smirnoff Kissed Caramel,1031200.0
182,New Amsterdam Orange,1031200.0
183,Kahlua Coffee Liqueur,1081100.0
186,Captain Morgan Spiced Rum Pet,1062400.0
187,Captain Morgan Spiced Rum Mini,1062400.0
188,Captain Morgan Original Spiced,1062400.0
190,Hennessy VS,1052100.0
191,Jack Daniels Old #7 Black Lbl Mini,1011400.0
192,New Amsterdam Peach,1031200.0
193,New Amsterdam Pineapple,1031200.0
194,Southern Comfort,1081600.0
195,Disaronno Amaretto,1082000.0
198,Chambord Liqueur Royale De France,1082000.0
199,Effen Black Cherry Vodka,1032200.0
200,Pearl Pomegranate Vodka,1031200.0
201,Patron Anejo,1022200.0
204,Jack Daniels Old #7 Black Lbl,1011400.0
205,Ketel One Imported Vodka,1032000.0
206,Blue Chair Bay Coconut,1062500.0
209,Johnnie Walker Red Label Scotch,1012200.0
212,Stoli Razberi (raspberry),1032200.0
217,Smirnoff Vodka 100 Prf,1031000.0
219,Pinnacle Vodka,1032000.0
221,TGIFridays Ultimate Mudslide,1070000.0
222,Uv Blue Raspberry Lemonade Pet,1070000.0
223,Bacardi Party Drinks Zombie,1070000.0
224,Chi-Chi's Orange Cream,1070000.0
225,Chi-Chi's Pineapple Margarita,1070000.0
226,Titos Vodka,1031000.0
227,Fris Danish Vodka,1032000.0
230,Crown Royal,1012100.0
234,Fireball Cinnamon Whisky,1081600.0
235,Canadian Ltd Whisky,1012100.0
239,New Amsterdam Vodka,1031000.0
240,New Amsterdam Apple Vodka,1031200.0
243,New Amsterdam Mango,1031200.0
246,Kinky Red Liqueur,1081000.0
248,Hennessy Vs Cognac 100ml,1052100.0
249,Svedka Vodka,1032000.0
251,New Amsterdam Red Berry,1031200.0
252,1800 Silver Tequila,1022200.0
255,Black Velvet Cinnamon Rush,1012100.0
256,Old Crow Traveler,1011200.0
258,Southern Comfort Pet,1081600.0
259,Bacardi Limon,1062500.0
260,Bacardi Mango,1062500.0
263,99 Blackberries,1081400.0
264,Jim Beam Kentucky Fire,1011100.0
265,UV Candy Bar Mini,1031200.0
268,Tequila Rose Liqueur Mini,1081200.0
269,Absolut Swedish Vodka 80 Prf Mini,1032000.0
270,Dr. Peach Whiskey Mini,1081600.0
271,Rebel Yell Root Beer Whiskey Mini,1081600.0
275,Captain Morgan Parrot Bay Pineapple,1062500.0
278,Seagrams 7 Crown Bl Whiskey,1011100.0
279,Fleischmann's Royal Vodka 80 Prf,1031000.0
281,Black Velvet Reserve,1012100.0
282,Evan Williams Str Bourbon,1011200.0
285,Windsor Canadian Pet,1012100.0
288,Hawkeye Blend Whiskey,1011100.0
289,Arrow Wild Cherry Flav Brandy,1051100.0
290,Skol Vodka,1031000.0
294,Kahlua Frozen Mudslide,1070000.0
297,Black Velvet Toasted Caramel,1012100.0
300,Bacardi Dragon Berry,1062500.0
302,Smirnoff Raspberry,1031200.0
304,Smirnoff Citrus,1031200.0
305,Ciroc Luxury Vodka,1032000.0
306,Five O'clock Vodka,1031000.0
310,Margaritaville Silver Tequila,1022200.0
313,El Jimador Silver Tequila,1022200.0
315,Sobieski Vodka,1032000.0
317,Bacardi Pineapple,1062500.0
319,Bacardi Gold Rum,1062100.0
320,Smirnoff Cherry,1031200.0
322,New Amsterdam Citron,1031200.0
324,Smirnoff Sours Green Apple,1031200.0
325,Jose Cuervo Authentic Lime Margarita,1070000.0
330,Seagrams Seven Crown Orchard Apple,1011100.0
331,Captain Morgan Cannon Blast,1062500.0
335,Admiral Nelson Spiced Rum,1062400.0
344,Captain Morgan Black Spiced,1062400.0
348,Deep Eddy Ruby Red,1031200.0
357,Jack Daniel's Tennessee Fire,1011400.0
358,Jack Daniel's Tennessee Honey,1011400.0
363,Johnnie Walker Red,1012200.0
365,Jose Cuervo Golden Margarita,1070000.0
374,Patron Silver Tequila,1022200.0
375,Reyka Vodka,1032000.0
376,Rumchata,1081200.0
381,Wild Turkey 101 Mini,1011200.0
383,Smirnoff Vanilla,1031200.0
387,Svedka Strawberry Lemonade,1032200.0
391,Templeton Rye,1011600.0
396,Wild Turkey American Honey,1011200.0
398,Woodford Reserve Bourbon,1011200.0
399,Captain Morgan Original Spiced Rum Pet,1062400.0
400,Di Amore Amaretto,1081000.0
401,Smirnoff Vodka Traveller,1031000.0
402,Johnnie Walker Black,1012200.0
407,Jim Beam Mini,1011200.0
412,Dekuyper Peachtree Schnapps Pet,1081400.0
414,Scoresby Rare Scotch,1012200.0
415,Dekuyper Melon Liqueur,1081000.0
419,Bird Dog Blackberry Whiskey,1011100.0
420,Burnett's Gin London Dry,1041100.0
421,Tequila Rose Liqueur,1081200.0
422,Juarez Tequila Silver,1022100.0
