,Store Number,County Number
15236,2596,90.0
15310,3726,90.0
15341,2543,90.0
15597,4069,90.0
15609,3916,90.0
15651,5300,90.0
15755,2611,90.0
15862,2548,77.0
15989,2238,77.0
16111,2594,97.0
16134,5348,64.0
16301,4202,97.0
16320,3879,97.0
16324,5351,97.0
16343,4879,97.0
16381,4884,97.0
16402,4565,97.0
16422,2621,97.0
16517,3808,7.0
16588,3869,52.0
16666,4452,97.0
16785,2623,97.0
16967,3820,97.0
17101,4975,97.0
17126,4588,97.0
17153,4558,97.0
17188,2667,97.0
17230,4200,97.0
17244,4568,97.0
17281,3757,97.0
17326,5086,97.0
17342,3447,97.0
17360,3722,97.0
17394,4201,97.0
17414,5027,97.0
17431,4676,97.0
17443,4197,97.0
17472,4888,97.0
17496,4444,97.0
17520,5264,77.0
17576,3942,86.0
17641,4195,86.0
17659,4025,6.0
17684,4070,6.0
17731,5268,6.0
17747,2618,57.0
17762,3417,48.0
17905,4439,57.0
17930,4346,6.0
17969,5292,6.0
17976,4228,6.0
17988,4298,86.0
18026,5202,7.0
18041,4978,7.0
18049,4557,86.0
18067,5323,86.0
18080,5284,79.0
18104,3873,52.0
18120,2670,52.0
18345,5009,52.0
18537,4157,52.0
18550,3928,52.0
18557,5105,52.0
18700,2508,57.0
19015,5222,57.0
19046,2568,57.0
19073,5356,57.0
19113,3890,57.0
19175,5073,57.0
19185,2846,57.0
19212,4162,57.0
19232,5190,57.0
19283,4393,77.0
19302,5339,48.0
19344,5150,79.0
19357,3629,78.0
19358,5360,82.0
19425,3762,77.0
19468,4773,77.0
19491,9906,77.0
19499,4849,77.0
19548,5102,57.0
19556,2626,77.0
19574,2635,82.0
19823,3731,82.0
19885,3354,82.0
19913,2838,82.0
19930,4751,82.0
19939,4694,82.0
19953,2567,82.0
20076,4638,82.0
20099,3858,82.0
20130,5215,82.0
20155,4196,82.0
20179,5029,82.0
20235,4847,82.0
20287,3420,77.0
20309,3645,77.0
20344,4461,77.0
20403,4388,77.0
20443,2854,77.0
20528,4392,77.0
20569,4732,77.0
20578,4733,77.0
20586,4661,77.0
20612,4374,77.0
20632,4209,77.0
20673,4375,77.0
20687,4344,77.0
20842,4901,77.0
20868,4362,77.0
20878,4083,77.0
20913,4609,77.0
20926,4397,77.0
20942,4405,77.0
20986,2106,7.0
21074,2130,7.0
21178,5155,7.0
21213,4988,7.0
21223,4932,7.0
21312,4959,7.0
21385,3995,7.0
21421,4761,7.0
21429,4958,7.0
21525,3713,17.0
21552,3528,17.0
21573,2515,17.0
21611,3664,98.0
21771,2652,17.0
21869,2582,17.0
21994,5034,17.0
22025,5251,17.0
22075,4668,17.0
22092,3456,17.0
22270,4969,17.0
22381,4091,17.0
22402,5069,95.0
22408,5334,95.0
22446,5115,98.0
22458,4104,17.0
22469,5280,17.0
22483,5247,17.0
22521,3525,92.0
22579,2517,50.0
22711,4807,48.0
22730,4787,52.0
22773,4493,57.0
22938,4500,52.0
22979,4427,52.0
23002,5196,52.0
23015,4713,52.0
23033,3670,52.0
23098,4366,52.0
23121,5011,48.0
23141,3888,79.0
23152,2579,79.0
23195,3054,79.0
23215,4345,79.0
23297,4185,79.0
23319,5138,50.0
23342,4604,50.0
23468,5116,94.0
