,Store Number,County Number
608575,5410,61.0
616011,5381,22.0
628333,5409,25.0
634182,5401,23.0
644550,5399,98.0
647425,5416,64.0
649926,5411,25.0
664728,5413,60.0
675269,4464,82.0
685202,9910,91.0
713173,5423,71.0
731175,5398,50.0
738036,5425,77.0
741063,5389,45.0
751349,5421,83.0
752941,5382,77.0
755277,5427,31.0
758423,5256,81.0
760119,5415,7.0
766944,5374,90.0
781664,5424,65.0
782464,5426,7.0
810637,5429,86.0
820967,5430,40.0
825886,5400,14.0
828254,5422,79.0
849783,5431,75.0
851145,5420,57.0
852012,4778,11.0
887485,5428,57.0
888081,5418,57.0
888380,5406,52.0
892605,5417,57.0
902058,5412,86.0
909167,5397,48.0
909586,5407,48.0
911634,5408,64.0
955601,5395,77.0
963905,9031,83.0
974637,5434,29.0
979974,5432,77.0
990439,5437,53.0
996571,9931,83.0
1001304,5436,82.0
1050009,9932,31.0
1050010,9022,82.0
1050013,9922,82.0
1066952,5439,44.0
1071020,5440,43.0
1117913,5435,71.0
1118455,5446,84.0
1120506,5443,77.0
1123472,5445,52.0
1127472,5441,18.0
1191149,5444,64.0
1289436,5449,57.0
1341014,5453,15.0
1408933,5433,17.0
1420968,2674,27.0
1424553,5448,56.0
1428844,5458,60.0
1459154,5447,7.0
1462005,5456,33.0
1462081,5455,33.0
1493695,5465,85.0
1502950,5462,57.0
1510191,5466,77.0
1512977,5454,99.0
1522726,5464,13.0
1527729,5450,94.0
1572348,5461,13.0
1576838,5457,55.0
1597031,5379,41.0
1604326,5470,70.0
1606020,5451,71.0
1638267,5463,96.0
1641692,5471,8.0
1654301,5460,52.0
1658942,5474,7.0
1684645,5473,57.0
1691340,5480,84.0
1725974,5459,2.0
1726803,5452,96.0
1727166,5477,22.0
1734188,5482,82.0
1778142,5472,7.0
1790797,5481,57.0
1793249,5487,7.0
1796852,5476,82.0
1807891,5475,7.0
1815681,5491,42.0
1824409,5478,29.0
1852557,5490,17.0
1858274,5493,69.0
1860970,5485,85.0
1869852,5489,44.0
1880621,5492,13.0
41,5166,64.0
43,4297,57.0
57,2290,11.0
106,5165,95.0
206,4576,30.0
222,3908,56.0
238,3950,48.0
241,3986,97.0
259,4974,77.0
260,4481,52.0
263,5123,25.0
264,4874,44.0
272,4016,38.0
288,4827,52.0
382,4222,7.0
390,3162,70.0
406,4360,50.0
475,4173,71.0
478,4358,99.0
485,3766,19.0
565,4670,9.0
570,4376,17.0
607,4471,7.0
631,2353,45.0
697,3573,90.0
746,3747,54.0
747,4283,57.0
780,4177,64.0
901,5160,90.0
907,3894,57.0
913,3785,77.0
922,2152,17.0
929,3968,50.0
962,4764,94.0
1008,4862,75.0
1070,4615,17.0
1380,4214,7.0
1400,4612,82.0
1416,5018,82.0
1468,3947,79.0
1593,4839,98.0
1763,5037,37.0
1787,5130,82.0
2313,5132,77.0
2349,4164,82.0
2443,5074,57.0
2949,4426,64.0
4172,4018,48.0
4268,4883,54.0
4611,3400,77.0
4880,4008,97.0
4996,4090,10.0
5081,3972,42.0
5170,4295,77.0
5175,2498,33.0
5244,5103,70.0
5589,4357,85.0
5631,4662,57.0
5770,3779,94.0
5910,4987,85.0
6037,4667,61.0
6081,4561,7.0
6332,4686,23.0
6716,4813,23.0
7418,4926,77.0
7684,5137,77.0
8105,4979,57.0
8971,4620,1.0
9178,4451,40.0
9210,4367,17.0
9233,4768,77.0
9442,4430,94.0
9686,4420,90.0
9770,4925,77.0
9899,4431,94.0
10036,5022,77.0
11165,4704,78.0
12464,4445,40.0
12912,5152,7.0
13421,4398,99.0
13453,4372,17.0
13489,4957,81.0
13557,4470,7.0
13677,4742,78.0
14545,5192,57.0
15623,4112,52.0
21131,5095,78.0
26471,5047,57.0
31823,3655,97.0
33970,5066,31.0
36079,5189,77.0
159264,4961,31.0
409406,5178,70.0
808277,4903,4.0
1549073,4307,43.0
1859715,9929,52.0
1925501,9018,31.0
2183787,9930,7.0
1,2205,73.0
20,5093,82.0
69,4881,14.0
137,4860,57.0
232,2954,77.0
238,5036,57.0
271,2959,77.0
328,4288,57.0
333,4625,78.0
340,2487,53.0
349,3437,91.0
391,3692,57.0
396,3631,5.0
405,4572,38.0
520,4812,34.0
531,4681,33.0
706,4308,52.0
781,2367,73.0
945,3529,18.0
980,3970,85.0
1271,4729,24.0
1340,3761,87.0
1457,5053,52.0
1800,2955,77.0
1966,4276,95.0
2041,2958,77.0
2260,5008,74.0
2393,2956,77.0
2402,2962,77.0
2718,4672,22.0
2892,4349,77.0
2975,4386,64.0
3039,2953,77.0
3074,5085,7.0
3226,2963,77.0
3585,4834,70.0
3642,5168,57.0
4024,5139,7.0
4241,2599,52.0
4614,5038,7.0
4648,4071,50.0
4797,4030,30.0
5020,2951,77.0
5415,5026,48.0
5818,3925,48.0
7110,4432,52.0
7466,4691,42.0
7561,4683,7.0
7792,4322,50.0
8078,4085,7.0
8160,4567,77.0
8212,4920,77.0
8651,4776,14.0
10838,4990,15.0
10947,4188,31.0
11055,4012,77.0
11149,2961,77.0
11524,3440,77.0
12533,5030,7.0
12615,4889,77.0
13123,3451,23.0
15257,4335,60.0
15790,4586,13.0
16732,4583,13.0
18014,5033,7.0
21172,3864,81.0
21278,4939,77.0
24269,4425,78.0
25969,4870,82.0
27962,4270,90.0
30164,4488,57.0
36446,4121,58.0
47886,3969,1.0
50175,4954,77.0
54162,5084,57.0
54233,5136,77.0
65726,5032,77.0
65871,4486,30.0
75527,4059,6.0
57,4117,30.0
188,2964,77.0
208,4616,21.0
238,4075,7.0
317,4963,16.0
407,4381,48.0
419,4964,70.0
489,4007,96.0
523,4340,85.0
549,3352,28.0
556,4108,77.0
635,3614,47.0
652,4403,77.0
667,4221,7.0
692,3797,82.0
1069,2537,94.0
1169,5049,9.0
1253,4835,57.0
1360,4181,31.0
1387,4093,94.0
1663,4099,34.0
1676,4005,3.0
1866,4931,7.0
2031,3962,83.0
2074,3791,37.0
2118,2510,57.0
2234,4036,7.0
2295,2659,93.0
2401,4072,82.0
2507,4772,77.0
2533,4574,55.0
2609,3994,30.0
3605,3616,76.0
3606,4875,7.0
3654,4332,77.0
3857,4050,7.0
4026,2583,92.0
4220,3798,84.0
4311,2960,77.0
4533,3915,81.0
4565,2638,7.0
4629,3847,7.0
4764,4976,97.0
5167,3976,48.0
5678,3615,74.0
6589,4951,57.0
6749,4955,17.0
7025,4465,13.0
7598,4928,77.0
9681,4139,77.0
10042,4865,76.0
10177,4994,7.0
11599,4966,11.0
12816,4936,78.0
12973,4946,7.0
14023,4225,64.0
16218,4977,97.0
18607,3534,19.0
19036,4693,57.0
19121,4784,57.0
22149,4618,57.0
25654,4494,97.0
26026,4029,28.0
29237,4906,57.0
41249,4101,85.0
41560,4646,10.0
43722,4632,77.0
44074,3003,13.0
47180,3536,99.0
47299,4095,7.0
85682,5016,57.0
98339,4441,22.0
110057,4965,11.0
127265,4460,22.0
138419,4816,73.0
140964,4534,49.0
166798,4331,33.0
283043,4871,3.0
1568970,9014,47.0
2,3929,7.0
11,4187,72.0
89,4564,16.0
134,4758,11.0
290,3583,93.0
370,3878,7.0
410,4526,82.0
457,4219,17.0
562,4593,84.0
565,4581,7.0
599,4833,20.0
643,3482,14.0
675,4257,7.0
737,4347,82.0
808,2503,77.0
887,3016,9.0
891,3531,66.0
993,3885,10.0
1066,4649,78.0
1234,4484,70.0
1330,3911,48.0
1545,4302,77.0
1552,4442,84.0
1643,4348,70.0
1807,4035,7.0
1810,3697,31.0
1910,4809,19.0
1952,4327,57.0
2034,4894,82.0
2057,2664,34.0
2195,4814,7.0
2539,3895,29.0
2708,4304,77.0
2788,4328,96.0
2839,4076,82.0
3224,4606,97.0
3355,4294,40.0
3709,4043,29.0
3748,4614,77.0
3895,4886,57.0
4082,4851,57.0
4213,4078,7.0
4342,4850,57.0
4830,4080,7.0
5061,3492,13.0
5311,4922,64.0
5508,4109,77.0
6944,2422,77.0
7750,4044,29.0
10008,4341,15.0
10410,4826,68.0
11178,3734,71.0
14337,4422,1.0
16977,4671,7.0
22894,4822,62.0
25837,4680,77.0
28562,3725,32.0
28681,4916,90.0
30461,4033,22.0
31219,4918,11.0
36699,4052,97.0
46612,4113,78.0
51325,4832,73.0
53421,4215,7.0
78341,3812,11.0
95189,4333,7.0
95261,4570,21.0
113614,4815,73.0
479107,3543,75.0
1382902,9017,89.0
27,3906,29.0
53,2534,77.0
154,3480,21.0
208,4280,82.0
224,2132,33.0
261,3760,82.0
305,4483,52.0
334,2645,70.0
351,4309,78.0
637,2511,57.0
686,4094,85.0
704,4038,24.0
763,4639,94.0
808,4399,25.0
896,4039,78.0
939,3852,57.0
1203,2634,85.0
1217,4049,65.0
1231,4040,78.0
1245,4763,57.0
1324,4282,57.0
1421,4363,20.0
1459,4330,50.0
1583,3554,9.0
1612,4666,77.0
1701,4469,14.0
1931,4329,77.0
2007,4115,77.0
2036,4218,7.0
2351,4262,14.0
2464,4391,1.0
2518,4041,23.0
2617,4394,83.0
2642,4144,34.0
2751,4350,64.0
2975,3064,25.0
3325,4066,91.0
4035,4550,7.0
4153,3642,56.0
4185,4213,23.0
4263,3596,45.0
4280,4323,94.0
4297,2161,96.0
4571,4352,88.0
4774,4383,88.0
6379,4259,62.0
6609,4579,23.0
8200,4400,62.0
8476,4389,68.0
8800,4026,97.0
10576,4390,73.0
10958,3530,71.0
11644,3569,63.0
12737,3172,17.0
14753,4174,56.0
15430,4682,63.0
29905,4407,63.0
36483,4354,73.0
37582,3832,60.0
44455,2260,25.0
140583,4226,3.0
142813,4830,77.0
143579,4314,1.0
