,Store Number,Zip Code
13401,4448,50322.0
13406,5250,50317.0
13460,2625,52804.0
13640,3776,52806.0
13689,2603,52722.0
13693,4192,52722.0
14114,5013,52722.0
14137,5335,52722.0
14159,4717,52722.0
14167,2840,52722.0
14184,3715,52807.0
14244,2614,52807.0
14292,4630,52803.0
14352,4640,52807.0
14389,4652,52803.0
14408,5319,52802.0
14445,3853,52804.0
14476,2637,52804.0
14509,5257,52501.0
14601,5003,52804.0
14629,2502,50021.0
14725,3723,51040.0
14903,4971,50327.0
14940,4433,50317.0
14975,3949,50219.0
14986,2642,50219.0
15064,3990,52577.0
15176,3735,52577.0
15216,4300,52577.0
15228,4821,52577.0
15236,2596,52501.0
15310,3726,52501.0
15341,2543,52501.0
15597,4069,52501.0
15609,3916,52501.0
15651,5300,52501.0
15755,2611,52501.0
15862,2548,50009.0
15989,2238,50009.0
16111,2594,51106.0
16134,5348,50142.0
16301,4202,51106.0
16320,3879,51106.0
16324,5351,51101.0
16343,4879,51106.0
16381,4884,51106.0
16402,4565,51106.0
16422,2621,51105.0
16517,3808,50651.0
16588,3869,52241.0
16666,4452,51105.0
16785,2623,51104.0
16967,3820,51103.0
17101,4975,51104.0
17126,4588,51103.0
17153,4558,51105.0
17188,2667,51104.0
17230,4200,51108.0
17244,4568,51108.0
17281,3757,51108.0
17326,5086,51106.0
17342,3447,51106.0
17360,3722,51106.0
17394,4201,51109.0
17414,5027,51101.0
17431,4676,51101.0
17443,4197,51054.0
17472,4888,51054.0
17496,4444,51055.0
17520,5264,50169.0
17576,3942,52342.0
17641,4195,52342.0
17659,4025,52208.0
17684,4070,52208.0
17731,5268,52206.0
17747,2618,52402.0
17762,3417,52301.0
17905,4439,52213.0
17930,4346,52332.0
17969,5292,52349.0
17976,4228,52349.0
17988,4298,52224.0
18026,5202,50634.0
18041,4978,50702.0
18049,4557,50675.0
18067,5323,50635.0
18080,5284,52211.0
18104,3873,52241.0
18120,2670,52241.0
18345,5009,52241.0
18537,4157,52317.0
18550,3928,52317.0
18557,5105,52317.0
18700,2508,52405.0
19015,5222,52402.0
19046,2568,52402.0
19073,5356,52405.0
19113,3890,52405.0
19175,5073,52404.0
19185,2846,52404.0
19212,4162,52404.0
19232,5190,52351.0
19283,4393,50325.0
19302,5339,52301.0
19344,5150,52347.0
19357,3629,51503.0
19358,5360,52802.0
19425,3762,50322.0
19468,4773,50265.0
19491,9906,50317.0
19499,4849,50314.0
19548,5102,52314.0
19556,2626,50311.0
19574,2635,52807.0
19823,3731,52807.0
19885,3354,52807.0
19913,2838,52806.0
19930,4751,52806.0
19939,4694,52806.0
19953,2567,52806.0
20076,4638,52804.0
20099,3858,52806.0
20130,5215,52753.0
20155,4196,52806.0
20179,5029,52806.0
20235,4847,52753.0
20287,3420,50311.0
20309,3645,50311.0
20344,4461,50324.0
20403,4388,50325.0
20443,2854,50323.0
20528,4392,50325.0
20569,4732,50325.0
20578,4733,50322.0
20586,4661,50111.0
20612,4374,50111.0
20632,4209,50111.0
20673,4375,50111.0
20687,4344,50111.0
20842,4901,50226.0
20868,4362,50226.0
20878,4083,50021.0
20913,4609,50023.0
20926,4397,50021.0
20942,4405,50021.0
20986,2106,50613.0
21074,2130,50703.0
21178,5155,50701.0
21213,4988,50613.0
21223,4932,50613.0
21312,4959,50613.0
21385,3995,50613.0
21421,4761,50701.0
21429,4958,50613.0
21525,3713,50401.0
21552,3528,50401.0
21573,2515,50401.0
21611,3664,50459.0
21771,2652,50401.0
21869,2582,50401.0
21994,5034,50401.0
22025,5251,50401.0
22075,4668,50428.0
22092,3456,50428.0
22270,4969,50428.0
22381,4091,50428.0
22402,5069,50450.0
22408,5334,50450.0
22446,5115,50456.0
22458,4104,50401.0
22469,5280,50401.0
22483,5247,50469.0
22521,3525,52353.0
22579,2517,50208.0
22711,4807,52361.0
22730,4787,52338.0
22773,4493,52404.0
22938,4500,52317.0
22979,4427,52317.0
23002,5196,52241.0
23015,4713,52241.0
23033,3670,52241.0
23098,4366,52340.0
23121,5011,52361.0
23141,3888,50112.0
23152,2579,50112.0
23195,3054,50112.0
23215,4345,50112.0
23297,4185,50112.0
23319,5138,50135.0
23342,4604,50208.0
23468,5116,50702.0
23515,4194,50208.0
23537,3041,50054.0
23583,3514,50501.0
23626,9002,52753.0
23636,9902,52753.0
23640,5321,52208.0
23645,5303,50158.0
23662,3719,50158.0
23687,2544,50158.0
23948,5248,50158.0
24018,5346,50158.0
24088,4756,50158.0
24094,5324,50247.0
24130,5179,50028.0
24141,4727,50021.0
24159,4810,50021.0
24177,4084,50023.0
24194,4404,50021.0
24205,4726,50021.0
24432,4601,50317.0
24450,4598,50317.0
24474,4795,50317.0
24477,5125,50316.0
24541,4803,50313.0
24555,4140,50313.0
24779,4802,50310.0
24790,5162,50322.0
24801,3877,50322.0
24935,4941,50322.0
25121,4447,50322.0
25132,2587,50131.0
25356,2648,50265.0
25588,4368,50131.0
25603,4725,50023.0
25831,2528,50315.0
26020,4603,50320.0
26057,2561,50321.0
26231,4301,50320.0
26259,5129,50321.0
26297,4595,50321.0
26347,4997,50309.0
26388,4942,50309.0
26395,2849,50320.0
26409,4798,50320.0
26438,3678,50320.0
26449,4877,50325.0
26461,2248,50312.0
26521,5127,50312.0
26588,4804,50312.0
26602,2535,50265.0
26641,4230,50325.0
26654,2630,50266.0
26673,4373,50266.0
26680,3814,50266.0
26692,3899,50266.0
26944,5347,50265.0
26965,4927,50265.0
26993,2521,50265.0
27165,5146,50265.0
27177,4718,50266.0
27235,4521,50107.0
27264,4190,50129.0
27325,2671,50129.0
27367,5205,51443.0
27387,4158,51401.0
27406,4613,51401.0
27419,4688,51401.0
27441,2593,51401.0
27477,4014,51442.0
27602,4410,50220.0
27620,4001,51401.0
27651,2595,51442.0
27805,3756,51455.0
27846,5343,50058.0
27858,4917,50220.0
27874,2612,50220.0
27990,4320,50220.0
28014,5012,50220.0
28034,3831,50156.0
28061,3987,50511.0
28064,4169,50317.0
28111,4385,50210.0
28146,5144,50021.0
28201,2628,50627.0
28219,4110,50665.0
28272,2657,50833.0
28375,2620,50311.0
28625,4893,50265.0
28639,4594,50312.0
28664,4369,50211.0
28675,4092,50211.0
28700,4260,50213.0
28720,2550,50213.0
28772,3997,50213.0
28782,4419,50140.0
28788,2668,50144.0
28819,3826,50213.0
28855,4382,50265.0
28937,4801,50311.0
28952,5098,50311.0
28962,4165,50023.0
28980,4549,50056.0
28986,5337,50621.0
29008,4659,50621.0
29031,4250,50627.0
29074,4455,50627.0
29081,4657,50680.0
29087,5206,50638.0
29127,4495,50638.0
29147,4396,50669.0
29179,4306,50441.0
29223,4547,50441.0
29248,4421,50441.0
29273,2460,50441.0
29314,4658,50126.0
29327,4284,50126.0
29340,2658,50854.0
29354,3813,50854.0
29398,2655,51632.0
29424,4249,51632.0
29467,5210,51632.0
29514,4246,51601.0
29523,2607,51601.0
29601,4937,51601.0
29608,4629,51534.0
29637,4708,51534.0
29668,4010,51534.0
29705,4738,51501.0
29714,4545,51503.0
29751,4510,51551.0
29768,2518,51566.0
29883,4318,51566.0
29899,2656,51632.0
29925,2327,50841.0
29975,5110,50851.0
30000,3830,50801.0
30029,2553,50801.0
30066,2672,50273.0
30091,4823,50801.0
30113,4291,50801.0
30162,4531,50830.0
30169,2228,50273.0
30222,4848,50273.0
30296,4907,50613.0
30309,4947,50647.0
30451,4147,50613.0
30463,3819,52101.0
30469,4631,50613.0
30490,4914,50613.0
30507,2835,50613.0
30523,4723,50613.0
30536,5007,50622.0
30550,5181,50622.0
30560,5352,50676.0
30581,3717,50674.0
30607,3857,52172.0
30637,4762,52144.0
30727,4818,52101.0
30728,4183,52101.0
30773,3721,52101.0
30806,4289,52172.0
30826,2178,52172.0
30918,5017,52151.0
30959,5330,52162.0
30988,4973,52175.0
31043,4466,52142.0
31055,5180,50662.0
31071,4628,50662.0
31089,4156,50662.0
31110,5199,50662.0
31123,3584,50662.0
31163,4395,50075.0
31183,4651,50130.0
31208,5297,50595.0
31232,2602,50595.0
31262,4709,50010.0
31388,5187,50010.0
31405,4235,50595.0
31420,5296,50595.0
31427,4133,50595.0
31450,4459,50533.0
31465,4236,50533.0
31531,4556,50542.0
31542,3056,50525.0
31567,4591,50525.0
31579,5287,50525.0
31585,5302,50421.0
31595,3654,50421.0
31611,4247,50421.0
31628,4172,50006.0
31649,4355,50248.0
31671,4081,50248.0
31738,4102,50010.0
31785,4675,50010.0
31807,4767,50023.0
31832,5245,50315.0
31909,5051,50309.0
31934,4478,50315.0
31969,4597,50315.0
32016,5145,50315.0
32056,4186,50321.0
32076,5131,50316.0
32116,3700,51521.0
32163,5322,51521.0
32190,4743,51503.0
32240,3443,51503.0
32316,3728,51503.0
32388,4476,51501.0
32399,5182,51501.0
32424,3963,51501.0
32490,4740,51501.0
32504,5327,51501.0
32508,4317,50849.0
32559,4626,51501.0
32579,4808,51501.0
32591,4474,51501.0
32615,4608,51503.0
32652,5314,51501.0
32750,4462,50424.0
32768,4509,50010.0
32777,3477,51501.0
32813,4503,51575.0
32862,4516,51560.0
32947,4463,50438.0
32973,4780,50423.0
32983,3682,50483.0
33001,4268,50511.0
33058,2585,50511.0
33174,3842,50517.0
33224,4650,50590.0
33259,4073,50436.0
33358,3881,50158.0
33408,5126,50310.0
33547,2539,50126.0
33675,2651,50677.0
33866,4146,50677.0
33906,4538,50619.0
33913,4999,50619.0
33923,4700,50602.0
33936,3676,50636.0
33997,4203,50677.0
34036,4924,50658.0
34072,3688,50630.0
34087,4285,50659.0
34157,4143,52154.0
34287,4233,52136.0
34328,4769,50628.0
34347,4559,50461.0
34440,3542,50472.0
34468,4986,50435.0
