,Store Number,Store Location
17281,3757,"3101 Floyd Blvd
Sioux City 51108
(42.529334, -96.373595)"
17326,5086,"2501, Floyd Blvd
Sioux City 51106
(42.515929, -96.385147)"
17342,3447,"4201 S. York St.
Sioux City 51106
(42.43407, -96.37082)"
17360,3722,"3400 Singing Hills Blvd
Sioux City 51106
(42.43609, -96.36432)"
17394,4201,"4040 War Eagle Dr
Sioux City 51109
(42.494946, -96.461938)"
17414,5027,"111 3rd St
Sioux City 51101
(42.493001, -96.410513)"
17431,4676,"711 Gordon Dr
Sioux City 51101
(42.489817, -96.401114)"
17443,4197,"700 1st St
Sergeant Bluff 51054
(42.400504, -96.353078)"
17472,4888,"302 1st St
Sergeant Bluff 51054
(42.400333, -96.361378)"
17496,4444,"1864 Hwy 141
Sloan 51055
(42.228584, -96.23614)"
17520,5264,"309, Center Ave
Mitchellville 50169
(41.663434, -93.358095)"
17576,3942,"104 Highway 30 West
Toledo 52342
(41.985883, -92.579235)"
17641,4195,"1005 S County Line Rd
Toledo 52342
(41.726118, -92.299908)"
17659,4025,"702 13th St
Belle Plaine 52208
(41.897052, -92.277759)"
17684,4070,"708 13th St
Belle Plaine 52208
(41.897054, -92.278)"
17731,5268,"188, Parkridge Rd
Atkins 52206
(41.992623, -91.862705)"
17747,2618,"505 Boyson Rd NE
Cedar Rapids 52402
(42.04671, -91.63913)"
17762,3417,"Po Box 261 310 W Dillon
Marengo 52301
"
17905,4439,"800 Ford Lane
Center Point 52213
(42.177736, -91.775734)"
17930,4346,"105 Pearl St
Shellsburg 52332
(42.094155, -91.869285)"
17969,5292,"814, C Ave
Vinton 52349
(42.163119, -92.027865)"
17976,4228,"501 A Ave
Vinton 52349
(42.166166, -92.025603)"
17988,4298,"305 Crisman St
Dysart 52224
(42.171406, -92.30769)"
18026,5202,"115, 25th Ave
Gilbertville 50634
(42.424125, -92.218712)"
18041,4978,"3535 Marigold Dr
Waterloo 50702
(42.435363, -92.291456)"
18049,4557,"420 Second St
Traer 50675
(42.193386, -92.468086)"
18067,5323,"320 2nd St
Gladbrook 50635
(42.187653, -92.715598)"
18080,5284,"122, Front St.
Brooklyn 52211
(41.728699, -92.444377)"
18104,3873,"1441 Coral Ridge Ave
Coralville 52241
(41.690672, -91.608414)"
18120,2670,"2004 8th St
Coralville 52241
(41.682337, -91.591868)"
18345,5009,"1101 2ND ST
Coralville 52241
(41.673924, -91.580584)"
18537,4157,"615 Westwood Dr P.o Box 96
North Liberty 52317
(41.741097, -91.608385)"
18550,3928,"465 Hwy 965 Unit G
North Liberty 52317
(41.739524, -91.60759)"
18557,5105,"585 HIGHWAY 965
North Liberty 52317
(41.738152, -91.60761)"
18700,2508,"1843 Johnson Avenue, N.W.
Cedar Rapids 52405
(41.97447, -91.697941)"
19015,5222,"1500, 1st Ave NE
Cedar Rapids 52402
(41.98817, -91.652188)"
19046,2568,"1556 First Avenue NE
Cedar Rapids 52402
(41.98888, -91.650913)"
19073,5356,"1532 Ellis Blvd NW
Cedar Rapids 52405
(41.988646, -91.682151)"
19113,3890,"904 1st Ave NW
Cedar Rapids 52405
(41.972738, -91.683753)"
19175,5073,"2601, Williams Blvd SW
Cedar Rapids 52404
(41.964601, -91.706786)"
19185,2846,"3419 16th Ave SW
Cedar Rapids 52404
(41.963516, -91.716615)"
19212,4162,"4220 16th Ave SW
Cedar Rapids 52404
(41.963791, -91.726725)"
19232,5190,"200 Hwy 151 E
Walford 52351
(41.881819, -91.828573)"
19283,4393,"1725 NW 86th St
Clive 50325
(41.607327, -93.736227)"
19302,5339,"395 Western Avenue
Marengo 52301
(41.792953, -92.074374)"
19344,5150,"901, 3rd St
Victor 52347
(41.73067, -92.30035)"
19357,3629,"3200 Manawa Dr
Council Bluffs 51503
(41.227718, -95.84752)"
19358,5360,"1610 Rockingham Rd
Davenport 52802
(41.520201, -90.599395)"
19425,3762,"7690 Hickman Rd
Windsor Heights 50322
(41.61467, -93.722451)"
19468,4773,"2704 Vine St
West Des Moines 50265
(41.580248, -93.741609)"
19491,9906,"2515 Dean Avenue
Des Moines 50317
(41.591304, -93.570027)"
19499,4849,"801, University Ave
Des Moines 50314
(41.600826, -93.627851)"
19548,5102,"724 1st St SE
Mount Vernon 52314
(41.918452, -91.410465)"
19556,2626,"4100 University Ave
Des Moines 50311
(41.600361, -93.673223)"
19574,2635,"4064 E 53rd St
Davenport 52807
(41.574973, -90.513769)"
19823,3731,"5811 Elmore Ave
Davenport 52807
(41.580238, -90.528864)"
19885,3354,"3845 Elmore Ave.
Davenport 52807
(41.559731, -90.527081)"
19913,2838,"1655 W Kimberly Rd
Davenport 52806
(41.559969, -90.600088)"
19930,4751,"1720 W Kimberly Rd
Davenport 52806
(41.560071, -90.60138)"
19939,4694,"3815, West Kimberly Rd
Davenport 52806
(41.561756, -90.63145)"
19953,2567,"2200 West Kimberly
Davenport 52806
(41.560663, -90.608201)"
20076,4638,"4607 N Pine St
Davenport 52804
(41.567504, -90.610249)"
20099,3858,"6723 NW Blvd Unit 2
Davenport 52806
(41.589369, -90.609747)"
20130,5215,"1220, N Cody Rd
Le Claire 52753
(41.610504, -90.344168)"
20155,4196,"1635 West 53rd St
Davenport 52806
(41.574438, -90.598191)"
20179,5029,"211, W 53rd St
Davenport 52806
(41.574536, -90.576113)"
20235,4847,"1301 Eagle Ridge Rd
Leclaire 52753
(41.587346, -90.359846)"
20287,3420,"1101 73RD STREET
Windsor Heights 50311
(41.598673, -93.718139)"
20309,3645,"1001 73rd St
Windsor Heights 50311
(41.594758, -93.716953)"
20344,4461,"7220 Hickman Rd
Windsor Heights 50324
(41.614647, -93.717442)"
20403,4388,"11925 University Ave
Clive 50325
(41.600513, -93.782182)"
20443,2854,"14201 Hickman Rd
Urbandale 50323
(41.614877, -93.817332)"
20528,4392,"15600 Hickman Rd
Clive 50325
(41.614732, -93.834218)"
20569,4732,"15601 Hickman Rd
Clive 50325
"
20578,4733,"4600 86th St
Urbandale 50322
(41.643913, -93.736536)"
20586,4661,"1900, SE 37th St
Grimes 50111
(41.658525, -93.773467)"
20612,4374,"1950 Princeton Dr
Grimes 50111
(41.674214, -93.7729)"
20632,4209,"2150 East 1st St
Grimes 50111
(41.688318, -93.771309)"
20673,4375,"801 N 1st St
Grimes 50111
(41.680108, -94.498753)"
20687,4344,"109 East 1st St Ste B
Grimes 50111
(41.6884, -93.793827)"
20842,4901,"1101 S 5th St
Polk City 50226
(41.763876, -93.719323)"
20868,4362,"303 W Broadway St
Polk City 50226
(41.772214, -93.714431)"
20878,4083,"109 SE Oralabor Rd
Ankeny 50021
(41.702811, -93.599496)"
20913,4609,"165 SW Magazine Rd
Ankeny 50023
(41.717284, -93.601653)"
20926,4397,"802 E 1st St
Ankeny 50021
(41.731862, -93.586368)"
20942,4405,"1025 E 1st St
Ankeny 50021
(41.731869, -93.58166)"
20986,2106,"2217 College
Cedar Falls 50613
(42.517182, -92.455796)"
21074,2130,"617 Sycamore
Waterloo 50703
(42.497804, -92.33528)"
21178,5155,"1459, Ansborough Ave
Waterloo 50701
(42.493091, -92.376863)"
21213,4988,"5925 University Ave
Cedar Falls 50613
(42.512766, -92.429331)"
21223,4932,"3105 Hudson Rd
Cedar Falls 50613
(42.509279, -92.465845)"
21312,4959,"2128 College St
Cedar Falls 50613
(42.518018, -92.455801)"
21385,3995,"6027 University Ave Ste 100
Cedar Falls 50613
(42.512768, -92.430423)"
21421,4761,"3910 University Ave
Waterloo 50701
(42.504991, -92.402855)"
21429,4958,"809 E 18th St
Cedar Falls 50613
(42.5214, -92.436845)"
21525,3713,"4151 4th St SW
Mason City 50401
(43.148239, -93.261648)"
21552,3528,"3450 4th St SW
Mason City 50401
(43.148345, -93.255618)"
21573,2515,"2400 4th St SW
Mason City 50401
(43.148451, -93.235587)"
21611,3664,"90 10th St S
Northwood 50459
(43.443739, -93.218339)"
21771,2652,"875 4th St SW
Mason City 50401
(43.148257, -93.213856)"
21869,2582,"551 S Illinois Ave
Mason City 50401
(43.146805, -93.17113)"
21994,5034,"18 N Monroe Ave
Mason City 50401
(43.152301, -93.208614)"
22025,5251,"1303, North Federal
Mason City 50401
(43.163663, -93.201061)"
22075,4668,"20 South 4th St
Clear Lake 50428
(43.135827, -93.380243)"
22092,3456,"904 N 8th St
Clear Lake 50428
(43.142868, -93.378772)"
22270,4969,"910 N 8th St W
Clear Lake 50428
(43.142775, -93.396651)"
22381,4091,"910 Hwy 18 W
Clear Lake 50428
(43.143817, -93.376737)"
22402,5069,"101 N Lake St
Lake Mills 50450
(43.419608, -93.532484)"
22408,5334,"107 N Mill St
Lake Mills 50450
(43.419668, -93.535032)"
22446,5115,"204, E South St
Manly 50456
(43.284017, -93.200966)"
22458,4104,"400 North Delaware Ave
Mason City 50401
(43.155972, -93.199495)"
22469,5280,"1920 Federal Ave S
Mason City 50401
(43.133204, -93.201072)"
22483,5247,"202 4th ST N
Rockwell 50469
(42.986351, -93.188172)"
22521,3525,"106 W 2nd St
Washington 52353
(41.300399, -91.692213)"
22579,2517,"1501 First Avenue East
Newton 50208
(41.699157, -93.033284)"
22711,4807,"103, W Walnut St
Williamsburg 52361
(41.662819, -92.007391)"
22730,4787,"2722 NE 120th St
Swisher 52338
(41.847894, -91.664592)"
22773,4493,"5655 C St SW
Cedar Rapids 52404
(41.922505, -91.637306)"
22938,4500,"595 N Kansas Ave
North Liberty 52317
(41.751999, -91.636957)"
22979,4427,"610 N Kansas Ave
North Liberty 52317
(41.752948, -91.636982)"
23002,5196,"100 E OAKDALE BLVD
Coralville 52241
(41.701503, -91.561958)"
23015,4713,"2751 Heartland Dr
Coralville 52241
(41.70051, -91.60946)"
23033,3670,"2801 Commerce Dr
Coralville 52241
(41.695806, -91.610774)"
23098,4366,"101 Village Dr
Tiffin 52340
(41.697221, -91.6656)"
23121,5011,"2177 M Ave
Williamsburg 52361
(41.690893, -92.066146)"
23141,3888,"415 Industrial Ave
Grinnell 50112
(41.720919, -92.730259)"
23152,2579,"320 West Street South
Grinnell 50112
(41.7283, -92.727343)"
23195,3054,"1026 Main
Grinnell 50112
(41.745726, -92.725772)"
23215,4345,"1031 West St
Grinnell 50112
(41.745903, -92.727379)"
23297,4185,"727 West St
Grinnell 50112
(41.741352, -92.727347)"
23319,5138,"103, Blair St
Kellogg 50135
(41.7144, -92.903113)"
23342,4604,"1324, 1st Ave E
Newton 50208
(41.699173, -93.035654)"
23468,5116,"702, 1st Ave E
Newton 50702
(41.69943, -93.045515)"
23515,4194,"120 N 3rd Ave E
Newton 50208
(41.701453, -93.052657)"
23537,3041,"28 E Howard
Colfax 50054
(41.677922, -93.244486)"
23583,3514,"328 2nd Ave S
Fort Dodge 50501
(42.502311, -94.192501)"
23626,9002,"303 N Cody Rd
Leclaire 52753
(41.599733, -90.343594)"
23636,9902,"303 N Cody Road
Leclaire 52753
(41.599733, -90.343594)"
23640,5321,"606 13th St
Belle Plaine 52208
(41.897056, -92.279383)"
23645,5303,"108 Iowa Ave W
Marshalltown 50158
(42.00706, -92.916279)"
23662,3719,"2802 S Center St
Marshalltown 50158
(42.011986, -92.912318)"
23687,2544,"802 South Center
Marshalltown 50158
(42.039049, -92.912859)"
23948,5248,"114, N Center St
Marshalltown 50158
(42.051619, -92.912975)"
24018,5346,"1116 East Nevada St
Marshalltown 50158
(42.044345, -92.893113)"
24088,4756,"5 E Anson
Marshalltown 50158
(42.038119, -92.911565)"
24094,5324,"120 E. Main St.
State Center 50247
(42.016845, -93.162349)"
24130,5179,"103, N Main St
Baxter 50028
"
24141,4727,"2702 SE Delaware Ave
Ankeny 50021
(41.702859, -93.581216)"
24159,4810,"3603 NE Otterview Circle
Ankeny 50021
(41.761834, -93.572089)"
24177,4084,"3205 North Ankeny Blvd
Ankeny 50023
(41.757429, -93.600267)"
24194,4404,"1825 N Ankeny Blvd
Ankeny 50021
(41.746789, -93.600244)"
24205,4726,"901 N Ankeny Blvd
Ankeny 50021
(41.738925, -93.600264)"
24432,4601,"2110 Guthrie Ave
Des Moines 50317
(41.61508, -93.578778)"
24450,4598,"2221 E Euclid Ave
Des Moines 50317
(41.627702, -93.577655)"
24474,4795,"2545 E Euclid Ave
Des Moines 50317
(41.627702, -93.568668)"
24477,5125,"1320 E Euclid Ave
Des Moines 50316
(41.627778, -93.602858)"
24541,4803,"104 E Euclid Ave
Des Moines 50313
(41.627683, -93.617219)"
24555,4140,"100 Euclid Ave
Des Moines 50313
(41.627684, -93.618724)"
24779,4802,"4415 Douglas Ave
Des Moines 50310
(41.62949, -93.678747)"
24790,5162,"6401, Douglas Ave
Urbandale 50322
(41.629411, -93.705732)"
24801,3877,"5901 Douglas Ave
Des Moines 50322
(41.62953, -93.699282)"
24935,4941,"6990 Douglas Ave
Urbandale 50322
(41.629415, -93.711902)"
25121,4447,"9915, Douglas Ave
Urbandale 50322
(41.62945, -93.755433)"
25132,2587,"5750 Merle Hay Road
Johnston 50131
(41.664692, -93.697737)"
25356,2648,"555 S 51st St
West Des Moines 50265
(41.561219, -93.773583)"
25588,4368,"5800 Northglen Dr
Johnston 50131
(41.682764, -93.698314)"
25603,4725,"2905 W 1st St
Ankeny 50023
(41.731708, -93.638498)"
25831,2528,"3221 SE 14th St
Des Moines 50315
(41.554101, -93.596754)"
26020,4603,"3200 SE 14th St
Des Moines 50320
(41.555041, -93.596916)"
26057,2561,"4605 Fleur Drive
Des Moines 50321
(41.542748, -93.644943)"
26231,4301,"1805 SE 14th St
Des Moines 50320
(41.57222, -93.596849)"
26259,5129,"4121 Fleur Dr
Des Moines 50321
(41.546838, -93.64492)"
26297,4595,"4024 Fleur Dr
Des Moines 50321
(41.547105, -93.645068)"
26347,4997,"218, 6th Ave #101
Des Moines 50309
(41.585684, -93.624533)"
26388,4942,"333 E GRAND AVE
Des Moines 50309
(41.590266, -93.613431)"
26395,2849,"3151 SE 14th St
Des Moines 50320
(41.557061, -93.59678)"
26409,4798,"3140 SE 14th St
Des Moines 50320
(41.555952, -93.596914)"
26438,3678,"1918 SE 14th St
Des Moines 50320
(41.570844, -93.597011)"
26449,4877,"1775 NW 86th St
Clive 50325
(41.607853, -93.736232)"
26461,2248,"3500 Ingersoll Ave
Des Moines 50312
(41.586319, -93.664182)"
26521,5127,"3425 Ingersoll Ave
Des Moines 50312
(41.586313, -93.663337)"
26588,4804,"3501 Ingersoll Ave
Des Moines 50312
(41.586323, -93.664571)"
26602,2535,"1700 Valley West Dr
West Des Moines 50265
(41.59768, -93.75351)"
26641,4230,"10151 University Ave
Clive 50325
(41.600511, -93.756489)"
26654,2630,"1010 60th St
West Des Moines 50266
(41.584979, -93.790534)"
26673,4373,"141 S Jordan Creek Pkwy
West Des Moines 50266
(41.567246, -93.809458)"
26680,3814,"7205 Mills Civic Pkwy
West Des Moines 50266
(41.561375, -93.806147)"
26692,3899,"6365 Stagecoach Dr
West Des Moines 50266
(41.559117, -93.79515)"
26944,5347,"220 50th St
West Des Moines 50265
(41.572038, -93.770918)"
26965,4927,"3501 Ep True Pkwy
West Des Moines 50265
(41.570151, -93.752572)"
26993,2521,"1990 Grand Avenue
West Des Moines 50265
(41.571127, -93.73162)"
27165,5146,"329 Grand Ave
West Des Moines 50265
(41.58269, -93.70689)"
27177,4718,"1660 22nd St
West Des Moines 50266
(41.597473, -93.736117)"
27235,4521,"504 16th St N
Grand Junction 50107
(42.035781, -94.232024)"
27264,4190,"1207 N Elm St
Jefferson 50129
(42.026833, -94.377667)"
27325,2671,"106, W Washington St
Jefferson 50129
(42.017269, -94.374804)"
27367,5205,"201 Idaho St
Glidden 51443
(42.056889, -94.728844)"
27387,4158,"709 Monterey Dr
Carroll 51401
(42.065252, -94.850616)"
27406,4613,"402 E 6th St
Carroll 51401
(42.06444, -94.862578)"
27419,4688,"105 E 6th St
Carroll 51401
(42.065505, -94.866671)"
27441,2593,"905 US Highway 30 West
Carroll 51401
(42.070676, -94.876801)"
27477,4014,"510 C Ave
Denison 51442
(42.024768, -95.370676)"
27602,4410,"1219 1st St
Perry 50220
"
27620,4001,"2014 Kitty Hawk Ave
Carroll 51401
(42.081312, -94.893501)"
27651,2595,"1620 4th Ave, South
Denison 51442
(42.012395, -95.348601)"
27805,3756,"316 Main St
Manning 51455
(41.908573, -95.065122)"
27846,5343,"403 Main St.
Coon Rapids 50058
(41.870862, -94.67605)"
27858,4917,"1115 Ia Hwy 141
Perry 50220
(41.830334, -94.10386)"
27874,2612,"1215 141 St
Perry 50220
(41.830299, -94.104404)"
27990,4320,"1315 Willis Ave
Perry 50220
(41.838522, -94.103123)"
28014,5012,"2810, Willis Ave
Perry 50220
(41.838488, -94.081127)"
28034,3831,"301 Annex Rd
Madrid 50156
(41.87894, -93.815365)"
28061,3987,"111 S Phillips St
Algona 50511
(43.068032, -94.226874)"
28064,4169,"1824 Hubbell Ave
Des Moines 50317
(41.595999, -93.586657)"
28111,4385,"1453 Co Hwy G76
New Virginia 50210
"
28146,5144,"4625 SE Delaware Ave
Ankeny 50021
(41.693276, -93.581264)"
28201,2628,"1616 Edgington
Eldora 50627
(42.360631, -93.103764)"
28219,4110,"706 Highway 57
Parkersburg 50665
(42.570347, -92.783533)"
28272,2657,"1604 Bent
Bedford 50833
(40.676171, -94.725578)"
28375,2620,"7101 University Ave
Windsor Heights 50311
(41.600375, -93.715116)"
28625,4893,"105 Grand Ave
West Des Moines 50265
(41.582697, -93.70379)"
28639,4594,"901 SW 63rd St
Des Moines 50312
(41.569715, -93.703165)"
28664,4369,"2992 Sunset Dr
Norwalk 50211
(41.494857, -93.674051)"
28675,4092,"1711 Sunset Dr
Norwalk 50211
(41.483052, -93.675686)"
28700,4260,"215 S Main St
Osceola 50213
(41.032474, -93.765695)"
28720,2550,"510 West Mclane
Osceola 50213
(41.030564, -93.773424)"
28772,3997,"2400 College Dr
Osceola 50213
(41.024657, -93.798363)"
28782,4419,"2091 E Main St
Lamoni 50140
(40.623454, -93.896684)"
28788,2668,"1004 W 1st St
Leon 50144
(40.739645, -93.757827)"
28819,3826,"777 Casino Dr
Osceola 50213
(41.038156, -93.799151)"
28855,4382,"1293 8th Ave
West Des Moines 50265
"
28937,4801,"3030 University Ave
Des Moines 50311
(41.60037, -93.658747)"
28952,5098,"1621 University Ave
Des Moines 50311
(41.600477, -93.63996)"
28962,4165,"113 SE Delaware Ave Ste 101
Ankeny 50023
(41.731416, -93.581093)"
28980,4549,"702 Us Hwy 65
Colo 50056
(42.014866, -93.309393)"
28986,5337,"119 N. Main St
Conrad 50621
(42.225148, -92.874589)"
29008,4659,"409 E Center
Conrad 50621
(42.224536, -92.868874)"
29031,4250,"1232 14th St
Eldora 50627
(42.361055, -93.10077)"
29074,4455,"2359 Edgington Ave
Eldora 50627
(42.360612, -93.113653)"
29081,4657,"308 N Washington
Wellsburg 50680
"
29087,5206,"1400 G Ave
Grundy Center 50638
(42.36157, -92.782283)"
29127,4495,"504, G Ave
Grundy Center 50638
(42.361494, -92.770411)"
29147,4396,"606 Grundy Ave
Reinbeck 50669
(42.325703, -92.601293)"
29179,4306,"1208 4th St NE
Hampton 50441
(42.753045, -93.202452)"
29223,4547,"309 Central Ave West
Hampton 50441
(42.741748, -93.211676)"
29248,4421,"609 Central Ave W
Hampton 50441
(42.741741, -93.21508)"
29273,2460,"721 Central Avenue West
Hampton 50441
(42.741728, -93.21693)"
29314,4658,"904 Washington Ave
Iowa Falls 50126
(42.519634, -93.268365)"
29327,4284,"500 Iowa St
Iowa Falls 50126
(42.522324, -93.263746)"
29340,2658,"402 S Hayes St
Mount Ayr 50854
(40.711775, -94.233185)"
29354,3813,"104 North Fillmore
Mount Ayr 50854
(40.714826, -94.238806)"
29398,2655,"1200 S 16TH ST
Clarinda 51632
(40.726839, -95.037848)"
29424,4249,"115 Essie Davison Dr
Clarinda 51632
(40.722774, -95.038576)"
29467,5210,"900, E Washington St
Clarinda 51632
(40.739231, -95.027239)"
29514,4246,"1007 S Fremont St
Shenandoah 51601
"
29523,2607,"520 So Fremont
Shenandoah 51601
(40.760911, -95.385106)"
29601,4937,"1310 W Sheridan Ave
Shenandoah 51601
(40.765869, -95.38464)"
29608,4629,"309 N Locust St
Glenwood 51534
(41.050184, -95.744909)"
29637,4708,"423 SHARP ST
Glenwood 51534
(41.04635, -95.742987)"
29668,4010,"900 S Locust St
Glenwood 51534
(41.038071, -95.746213)"
29705,4738,"1030, Veteran Memorial Hwy
Council Bluffs 51501
(41.219703, -95.860337)"
29714,4545,"14151 Wabash Ave
Council Bluffs 51503
(41.22035, -95.817825)"
29751,4510,"701 Main St
Malvern 51551
(41.005672, -95.585127)"
29768,2518,"1607 North Broadway
Red Oak 51566
(41.019275, -95.232783)"
29883,4318,"811 Broadway
Red Oak 51566
(41.012239, -95.232712)"
29899,2656,"300 10th St
Corning 51632
(40.991951, -94.743093)"
29925,2327,"801 Hull St
Corning 50841
(40.989239, -94.742993)"
29975,5110,"200, N Walnut St
Lenox 50851
(40.882645, -94.560455)"
30000,3830,"806 Laurel St
Creston 50801
(41.047715, -94.372464)"
30029,2553,"600 Sheldon
Creston 50801
(41.051313, -94.372767)"
30066,2672,"923 N 1st St
Winterset 50273
(41.342665, -94.013482)"
30091,4823,"903 N Sumner Ave
Creston 50801
(41.066824, -94.372568)"
30113,4291,"105 E Adams St
Creston 50801
(40.71572, -94.23702)"
30162,4531,"501 N Douglas St
Afton 50830
(41.031441, -94.197613)"
30169,2228,"53 Green St
Winterset 50273
(41.336407, -94.012459)"
30222,4848,"111 E Jefferson St
Winterset 50273
(41.335457, -94.012692)"
30296,4907,"2323 Main St
Cedar Falls 50613
(42.516198, -92.44586)"
30309,4947,"1420 W First St
Cedar Falls 50647
(42.537839, -92.462826)"
30451,4147,"214 N Magnolia Dr
Cedar Falls 50613
(42.53898, -92.474703)"
30463,3819,"915 Short St
Decorah 52101
(43.291095, -91.797532)"
30469,4631,"2425, Whitetail Dr
Cedar Falls 50613
(42.539967, -92.475139)"
30490,4914,"2728 Center St
Cedar Falls 50613
(42.561054, -92.455972)"
30507,2835,"2302 West First St
Cedar Falls 50613
(42.540002, -92.473049)"
30523,4723,"2509 Whitetail Dr
Cedar Falls 50613
(42.540369, -92.476109)"
30536,5007,"1022 Skylar St
Denver 50622
(42.661676, -92.336861)"
30550,5181,"1101, Jefferson St
Denver 50622
"
30560,5352,"600 7th Ave
Tripoli 50676
(42.802374, -92.264268)"
30581,3717,"201 W 1st St
Sumner 50674
(42.847479, -92.099221)"
30607,3857,"9th St SW B
Waukon 52172
"
30637,4762,"101 Main St
Fort Atkinson 52144
(43.14339, -91.932112)"
30727,4818,"303, College Dr
Decorah 52101
(43.307728, -91.797038)"
30728,4183,"103 E Main
Decorah 52101
(43.303291, -91.785286)"
30773,3721,"1798 Old Stage Rd
Decorah 52101
(43.290048, -91.753125)"
30806,4289,"777 11th Ave SW
Waukon 52172
(43.256619, -91.48472)"
30826,2178,"618 Rossville Road
Waukon 52172
(43.262069, -91.473622)"
30918,5017,"417 Main St
Lansing 52151
(43.36182, -91.219222)"
30959,5330,"124 West Tilden St.
Postville 52162
(43.084552, -91.569148)"
30988,4973,"303, Hwy 150 N
West Union 52175
(42.965065, -91.814402)"
31043,4466,"515 W Water St
Fayette 52142
(42.844438, -91.80894)"
31055,5180,"801, E Charles St
Oelwein 50662
(42.678786, -91.902413)"
31071,4628,"137 2nd Ave SE
Oelwein 50662
(42.67564, -91.910523)"
31089,4156,"102 2nd Ave SE
Oelwein 50662
(42.6755, -91.910525)"
31110,5199,"701, S Frederick Ave
Oelwein 50662
(42.669128, -91.913481)"
31123,3584,"1011 S Frederick M/a Po Bx 572
Oelwein 50662
"
31163,4395,"1111 Ia Highway 175
Ellsworth 50075
(42.310443, -93.573932)"
31183,4651,"301 MAIN ST
Jewell 50130
(42.302654, -93.640039)"
31208,5297,"1803 Superior St
Webster City 50595
(42.459531, -93.815845)"
31232,2602,"823 2nd St
Webster City 50595
(42.469466, -93.825486)"
31262,4709,"2719 Grand Ave
Ames 50010
(42.048976, -93.620635)"
31388,5187,"125 6th ST
Ames 50010
(42.026938, -93.611772)"
31405,4235,"942 2nd St
Webster City 50595
(42.469488, -93.827718)"
31420,5296,"1102 2nd St
Webster City 50595
(42.469524, -93.831462)"
31427,4133,"1447 2nd St
Webster City 50595
(42.469614, -93.839969)"
31450,4459,"1120 S Commercial
Eagle Grove 50533
(42.653973, -93.9044)"
31465,4236,"205 NW 1st St
Eagle Grove 50533
(42.665175, -93.903094)"
31531,4556,"319 E Hwy 3
Goldfield 50542
(42.731594, -93.917008)"
31542,3056,"325 Central Ave W
Clarion 50525
(42.731643, -93.735875)"
31567,4591,"222, Central Ave
Clarion 50525
(42.731649, -93.735023)"
31579,5287,"300 Central Ave W
Clarion 50525
(42.731643, -93.735925)"
31585,5302,"112 River Ave S
Belmond 50421
(42.84535, -93.616821)"
31595,3654,"207 E Main St
Belmond 50421
(42.845901, -93.615247)"
31611,4247,"512 River Ave N
Belmond 50421
(42.850357, -93.616788)"
31628,4172,"1204 Water St Po Box 177
Alden 50006
(42.520423, -93.376271)"
31649,4355,"1554 Broad St
Story City 50248
(42.187733, -93.57573)"
31671,4081,"306 Washington
Story City 50248
(42.185827, -93.599758)"
31738,4102,"619 Burnett Ave
Ames 50010
(42.027426, -93.615428)"
31785,4675,"2801 E 13th St
Ames 50010
(42.034562, -93.575702)"
31807,4767,"6981 NE 14th St
Ankeny 50023
(41.687793, -93.600659)"
31832,5245,"1516, SE 1st St
Des Moines 50315
(41.575862, -93.613501)"
31909,5051,"630 SW 9TH ST
Des Moines 50309
(41.575733, -93.624763)"
31934,4478,"3000, SW 9th St
Des Moines 50315
(41.557862, -93.625682)"
31969,4597,"850 Army Post Rd
Des Moines 50315
(41.526428, -93.625093)"
32016,5145,"1101 Army Post Rd
Des Moines 50315
(41.526509, -93.628356)"
32056,4186,"5901 FLEUR DR
Des Moines 50321
(41.531145, -93.644946)"
32076,5131,"1401, Buchanan St
Des Moines 50316
(41.598791, -93.599306)"
32116,3700,"158 South Elm
Avoca 51521
(41.476306, -95.339412)"
32163,5322,"212 West Wood St.
Avoca 51521
(41.487428, -95.33778)"
32190,4743,"1801 Valley View Dr
Council Bluffs 51503
(41.243851, -95.818773)"
32240,3443,"1141 N Broadway
Council Bluffs 51503
(41.270882, -95.836507)"
32316,3728,"726 Creek Top
Council Bluffs 51503
(41.262315, -95.854804)"
32388,4476,"15 North 16th St
Council Bluffs 51501
(41.262352, -95.867464)"
32399,5182,"1749 W Broadway
Council Bluffs 51501
(41.261858, -95.870133)"
32424,3963,"1925 W Broadway
Council Bluffs 51501
(41.261866, -95.873074)"
32490,4740,"2508 W Broadway
Council Bluffs 51501
(41.26194, -95.882665)"
32504,5327,"3540 W Broadway
Council Bluffs 51501
(41.261907, -95.903763)"
32508,4317,"212 SW Kent
Greenfield 50849
(41.303167, -94.462719)"
32559,4626,"3632, Avenue G
Council Bluffs 51501
(41.268064, -95.906095)"
32579,4808,"3500, Ave A
Council Bluffs 51501
(41.262812, -95.902474)"
32591,4474,"3501 W Broadway St
Council Bluffs 51501
(41.261916, -95.902733)"
32615,4608,"510, 23rd Ave
Council Bluffs 51503
(41.23931, -95.85248)"
32652,5314,"3134 Manawa Center Dr. # 9
Council Bluffs 51501
(41.228712, -95.847514)"
32750,4462,"113 1st St NW
Buffalo Center 50424
(43.386755, -93.947595)"
32768,4509,"2515 Chamberlain
Ames 50010
(42.021461, -93.650838)"
32777,3477,"3221 Manawa Centre Dr
Council Bluffs 51501
(41.225208, -95.847163)"
32813,4503,"102 W Main St
Treynor 51575
(41.232473, -95.617322)"
32862,4516,"205 Brown St
Oakland 51560
(41.30495, -95.399804)"
