,Store Number,Store Location
4005,3774,"1800 Elm St
Dubuque 52001
(42.511015, -90.665715)"
4020,4712,"345 E 20th St
Dubuque 52001
(42.512068, -90.667018)"
4029,5042,"1101 Rhomberg Ave
Dubuque 52001
(42.519454, -90.660309)"
4045,3738,"2225 Central Ave
Dubuque 52001
(42.513893, -90.671564)"
4069,4535,"4003 Peru Rd
Dubuque 52001
(42.539307, -90.676078)"
4078,2649,"400 Locust St
Dubuque 52001
(42.497219, -90.666497)"
4233,3495,"228 N Main St
Monticello 52310
(42.24019, -91.183397)"
4379,4252,"433 N Farley St
Monticello 52310
(42.242003, -91.191404)"
4407,4137,"200 SE Laurel St
Waukee 50263
(41.614033, -93.86786)"
4416,4299,"9 Waterhouse Ave
Central City 52214
(42.199296, -91.530478)"
4461,2666,"2510 SW State St
Ankeny 50023
(41.704094, -93.62159)"
4463,4136,"351 Gateway Dr
Grimes 50111
(41.685967, -93.779674)"
4464,9911,"501 7th ave SE
Urbandale 50322
(41.582598, -93.605657)"
4476,4599,"3700 Hubbell Ave
Des Moines 50317
(41.628988, -93.544983)"
4520,3625,"1002 SE National Dr
Ankeny 50021
(41.704864, -93.582151)"
4559,5124,"5440 NW 86th St
Johnston 50131
(41.659057, -93.736517)"
4621,4131,"8450 Meredith Dr
Urbandale 50322
(41.643829, -93.734308)"
4641,3691,"11148 Plum Dr
Urbandale 50322
(41.64653, -93.769789)"
4696,4449,"12041 Douglas Pkwy
Urbandale 50322
(41.62962, -93.782993)"
4707,4450,"4585 156th St
Urbandale 50323
(41.643147, -93.833463)"
4717,2665,"1005 E Hickman Rd
Waukee 50263
(41.615059, -93.854477)"
4789,3943,"519 Lincolnway
Nevada 50201
"
4806,4378,"85 4th St
Waukee 50263
(41.613918, -93.882532)"
4813,4384,"409 Nile Kinnick Dr
Adel 50003
(41.614114, -94.017511)"
4830,4623,"700 Debra Dr
Van Meter 50261
(41.533177, -93.951253)"
4840,5092,"7265 Vista Dr
West Des Moines 50265
(41.589057, -93.807839)"
4869,2619,"1725 74th St
West Des Moines 50266
(41.598515, -93.808855)"
5140,2200,"619 E Main St
Sac City 50583
(42.421341, -94.974011)"
5157,4098,"2485 Hwy 92
Washington 52353
(41.296878, -91.661434)"
5183,4021,"2701 W Burlington Ave
Fairfield 52556
(41.006375, -91.993721)"
5210,3811,"300 North Park Dr
Keokuk 52632
(40.418589, -91.407263)"
5227,3562,"324 West Agency Rd
West Burlington 52655
(40.813119, -91.158456)"
5272,3790,"1045 N Grand Ave
Mt Pleasant 52641
(40.978416, -91.539034)"
5301,2552,"20 Wilson Avenue West
Cedar Rapids 52404
(41.955859, -91.658577)"
5456,4492,"3625 Edgewood Rd SW
Cedar Rapids 52404
(41.942366, -91.715911)"
5471,3666,"3400 Edgewood Rd SW
Cedar Rapids 52404
(41.943526, -91.716086)"
5492,4956,"4920, Johnson Ave NW
Cedar Rapids 52405
(41.967973, -91.734378)"
5529,4788,"324 Edgewood Rd NW
Cedar Rapids 52405
(41.975039, -91.715942)"
5544,3912,"225 Edgewood Rd
Cedar Rapids 52405
(41.973736, -91.715944)"
5595,5176,"455, Edgewood Rd NW
Cedar Rapids 52405
(41.97805, -91.715903)"
5717,4443,"1204 1st St
Palo 52324
(42.070316, -91.795808)"
5726,4895,"5427 Center Point Rd NE
Cedar Rapids 52402
(42.033124, -91.668065)"
5783,4634,"4201, Center Point Rd NE
Cedar Rapids 52402
(42.022, -91.665691)"
5802,5230,"4107, Center Point Rd NE
Cedar Rapids 52402
(42.02088, -91.665196)"
5821,2843,"4116 Center Pointe Rd
Cedar Rapids 52402
(42.020631, -91.665103)"
5849,5254,"2933 1st Ave SE
Cedar Rapids 52402
(42.007104, -91.634871)"
5877,4496,"2824, 1st Ave NE
Cedar Rapids 52402
(42.005867, -91.634838)"
