,Store Number,County
85122,4418,POTTAWATTA
85606,5164,POTTAWATTA
85803,5114,HARRISON
85929,4560,SHELBY
86033,2459,GUTHRIE
86847,4482,WARREN
88979,4663,DUBUQUE
89179,4711,DUBUQUE
89641,4685,DUBUQUE
90389,5341,LINN
90928,5157,CALHOUN
91012,4838,BOONE
91181,4664,BOONE
91223,5159,CALHOUN
91842,5193,CALHOUN
92392,5270,POLK
92547,4890,POLK
92710,4669,POLK
92853,4929,DALLAS
92910,4887,POLK
93797,4759,BLACK HAWK
93818,2836,BLACK HAWK
93921,5294,BLACK HAWK
94301,4948,CLINTON
94830,4645,SCOTT
94875,4912,SCOTT
95422,4507,CLAY
95590,3891,PALO ALTO
95648,5021,DICKINSON
96005,4854,EMMET
96026,4274,PALO ALTO
96238,5281,WEBSTER
96377,5288,WEBSTER
96571,4775,HUMBOLDT
96829,5221,WAYNE
96864,5217,WAYNE
97019,4232,APPANOOSE
97282,5109,WARREN
98311,4695,POLK
99609,4520,STORY
99828,5262,SCOTT
101566,5344,WOODBURY
101737,5076,WOODBURY
101772,5083,WOODBURY
101807,5188,WOODBURY
102148,5328,BENTON
103204,5025,LINN
103333,4635,LINN
103445,5172,LINN
105905,4351,Cerro Gord
106767,4506,JOHNSON
107101,4724,JASPER
107191,5275,JASPER
107883,4505,POLK
108262,5170,MARSHALL
108272,4338,MARSHALL
108304,3656,POLK
108309,5099,Polk
109294,3871,POLK
110732,4415,HARDIN
111370,4544,CLARKE
111422,4782,DECATUR
111783,4573,FREMONT
111854,4602,MILLS
112337,4786,MADISON
112382,4590,BLACK HAWK
113041,4938,BUCHANAN
113659,4739,POTTAWATTA
114771,4797,POLK
115275,5367,CHICKASAW
115503,3393,Mitchell
115625,4533,Mitchell
117238,5350,LINN
117529,4991,CLAYTON
118223,4498,BUCHANAN
118508,4578,VAN BUREN
118655,4692,LEE
118764,5213,LEE
118828,4689,LEE
118961,4857,DES MOINES
119367,4858,DES MOINES
119390,4983,DES MOINES
119678,4699,SCOTT
119836,4747,SCOTT
120351,4552,SCOTT
120479,5336,MUSCATINE
120742,5259,MILLS
124025,4523,AUDUBON
126130,4343,POLK
126981,4710,DUBUQUE
127599,3872,DUBUQUE
127763,5241,Iowa
128137,5006,DUBUQUE
128277,4536,DUBUQUE
128312,5183,DUBUQUE
129532,4730,POLK
130051,4489,LINN
130245,5061,LINN
130377,5304,SAC
130497,5120,MONONA
130683,4982,BUENA VIST
130935,4210,BUENA VIST
130957,4737,BUENA VIST
132306,5216,POLK
132771,5233,MARION
133218,4706,CLINTON
133396,5355,SCOTT
133607,5278,CLAY
134666,3901,WEBSTER
137037,5353,MARION
137438,5273,MARION
140411,4454,WOODBURY
140697,4968,POWESHIEK
141914,5064,LINN
143523,4119,BLACK HAWK
144046,4513,POLK
144115,2848,Polk
146338,4828,MARSHALL
146362,4528,MARSHALL
149356,4546,CARROLL
150130,9001,JOHNSON
150139,9901,Polk
150569,4944,Marshall
150598,4825,CLARKE
150737,3582,DECATUR
150988,5308,FRANKLIN
151439,4643,MONTGOMERY
152519,5186,FAYETTE
153128,4656,STORY
153196,4015,STORY
153335,4785,POTTAWATTA
154868,4571,BUTLER
155284,5366,FLOYD
159253,4501,JEFFERSON
160663,4315,WASHINGTON
161006,4468,MUSCATINE
161512,4627,JASPER
162711,4753,ADAIR
163375,5078,POTTAWATTA
163476,5291,POTTAWATTA
168988,4792,DALLAS
170133,3652,IDA
170628,4610,POCAHONTAS
172043,5218,LUCAS
172288,4811,MONROE
172630,4325,MONTGOMERY
173115,4707,CLINTON
174894,5285,HUMBOLDT
177802,5349,LINN
177817,5200,LINN
177848,4548,LINN
178404,4915,SCOTT
179097,4791,WOODBURY
180670,5197,JOHNSON
181319,5305,LINN
182331,5107,Polk
182916,9010,WARREN
188121,4653,GREENE
190371,5276,MONTGOMERY
190580,4824,UNION
192230,2845,POTTAWATTA
192954,4796,POLK
193539,5365,BUTLER
194873,5369,JACKSON
195428,4885,Jackson
197240,4555,LEE
197401,5046,LEE
200178,4843,MUSCATINE
202229,5232,AUDUBON
202993,5088,SIOUX
203011,4985,PLYMOUTH
204292,4714,WARREN
205098,5242,JOHNSON
206794,5234,DUBUQUE
210017,5312,CHEROKEE
210389,4781,SAC
212098,5265,APPANOOSE
212504,5240,CEDAR
218830,4750,SCOTT
219151,5185,JOHNSON
225173,4530,LINN
229808,9023,CARROLL
230286,4537,DECATUR
230877,2673,POLK
231412,4779,RINGGOLD
237000,9912,POLK
237546,5370,FAYETTE
242257,5372,OBRIEN
242478,5331,LYON
244239,5191,GUTHRIE
249349,5235,DALLAS
259108,5371,SCOTT
260373,4554,WOODBURY
260848,4846,MONONA
278117,4933,DES MOINES
278209,5361,DES MOINES
283187,5161,POTTAWATTA
287137,5201,DUBUQUE
287854,5209,DUBUQUE
287875,4996,DUBUQUE
295057,4716,CLAY
303106,4755,CERRO GORD
313230,4497,HARDIN
318873,4992,DES MOINES
323600,5056,POTTAWATTA
328141,4766,DUBUQUE
343948,9919,POLK
354559,5035,POTTAWATTA
359378,5373,CLAYTON
365649,5357,SIOUX
374796,5377,CALHOUN
377882,4499,DICKINSON
385034,5277,MONONA
391455,5363,POLK
398325,5375,POLK
402692,5368,BUCHANAN
407938,5376,SIOUX
422878,9925,POLK
425786,9927,CARROLL
431506,5388,WORTH
431586,5383,WORTH
435451,5385,POLK
436069,5384,DALLAS
439105,5394,WINNESHIEK
439543,5387,HAMILTON
439765,5386,WRIGHT
441608,5393,MITCHELL
451913,5392,POLK
468637,5380,WOODBURY
473479,5391,CERRO GORD
478471,5378,MARSHALL
487033,5272,DUBUQUE
494448,5396,WARREN
505617,9928,LINN
509888,5390,WOODBURY
536372,5405,JOHNSON
537257,5402,JOHNSON
554715,5404,JOHNSON
573762,5403,SCOTT
608575,5410,MADISON
616011,5381,CLAYTON
628333,5409,DALLAS
634182,5401,CLINTON
644550,5399,WORTH
647425,5416,MARSHALL
649926,5411,DALLAS
664728,5413,LYON
675269,4464,SCOTT
685202,9910,WARREN
713173,5423,OBRIEN
731175,5398,JASPER
738036,5425,POLK
741063,5389,HOWARD
751349,5421,SHELBY
752941,5382,POLK
755277,5427,DUBUQUE
758423,5256,SAC
760119,5415,BLACK HAWK
766944,5374,WAPELLO
781664,5424,MILLS
782464,5426,BLACK HAWK
810637,5429,TAMA
820967,5430,HAMILTON
825886,5400,CARROLL
828254,5422,POWESHIEK
849783,5431,PLYMOUTH
851145,5420,LINN
852012,4778,BUENA VIST
887485,5428,LINN
888081,5418,LINN
888380,5406,JOHNSON
892605,5417,LINN
902058,5412,TAMA
909167,5397,IOWA
909586,5407,IOWA
911634,5408,MARSHALL
955601,5395,POLK
963905,9031,SHELBY
974637,5434,DES MOINES
979974,5432,POLK
990439,5437,JONES
996571,9931,SHELBY
1001304,5436,SCOTT
1050009,9932,DUBUQUE
1050010,9022,SCOTT
1050013,9922,SCOTT
1066952,5439,HENRY
1071020,5440,HARRISON
1117913,5435,OBRIEN
1118455,5446,SIOUX
1120506,5443,POLK
1123472,5445,JOHNSON
1127472,5441,CHEROKEE
1191149,5444,MARSHALL
1289436,5449,LINN
1341014,5453,CASS
1408933,5433,CERRO GORD
1420968,2674,DECATUR
1424553,5448,LEE
1428844,5458,LYON
1459154,5447,BLACK HAWK
1462005,5456,FAYETTE
1462081,5455,FAYETTE
1493695,5465,STORY
1502950,5462,LINN
1510191,5466,POLK
1512977,5454,WRIGHT
1522726,5464,CALHOUN
1527729,5450,WEBSTER
1572348,5461,CALHOUN
1576838,5457,KOSSUTH
1597031,5379,HANCOCK
1604326,5470,MUSCATINE
1606020,5451,OBRIEN
1638267,5463,WINNESHIEK
1641692,5471,BOONE
1654301,5460,JOHNSON
1658942,5474,BLACK HAWK
1684645,5473,LINN
1691340,5480,SIOUX
1725974,5459,ADAMS
1726803,5452,WINNESHIEK
1727166,5477,CLAYTON
1734188,5482,SCOTT
1778142,5472,BLACK HAWK
1790797,5481,LINN
1793249,5487,Black Hawk
1796852,5476,SCOTT
1807891,5475,BLACK HAWK
1815681,5491,HARDIN
1824409,5478,DES MOINES
1852557,5490,CERRO GORD
1858274,5493,MONTGOMERY
1860970,5485,STORY
1869852,5489,HENRY
1880621,5492,CALHOUN
41,5166,Marshall
43,4297,Linn
57,2290,Buena Vista
106,5165,Winnebago
206,4576,Dickinson
222,3908,Lee
238,3950,Iowa
241,3986,Woodbury
259,4974,Polk
260,4481,Johnson
263,5123,Dallas
264,4874,Henry
272,4016,Grundy
288,4827,Johnson
382,4222,Black Hawk
390,3162,Muscatine
406,4360,Jasper
475,4173,O'Brien
478,4358,Wright
485,3766,Chickasaw
565,4670,Bremer
570,4376,Cerro Gordo
607,4471,Black Hawk
631,2353,Howard
697,3573,Wapello
746,3747,Keokuk
747,4283,Linn
780,4177,Marshall
901,5160,Wapello
907,3894,Linn
913,3785,Polk
922,2152,Cerro Gordo
929,3968,Jasper
962,4764,Webster
1008,4862,Plymouth
1070,4615,Cerro Gordo
1380,4214,Black Hawk
1400,4612,Scott
1416,5018,Scott
1468,3947,Poweshiek
1593,4839,Worth
1763,5037,Greene
1787,5130,Scott
2313,5132,Polk
2349,4164,Scott
2443,5074,Linn
2949,4426,Marshall
4172,4018,Iowa
4268,4883,Keokuk
4611,3400,Polk
4880,4008,Woodbury
4996,4090,Buchanan
5081,3972,Hardin
5170,4295,Polk
5175,2498,Fayette
5244,5103,Muscatine
5589,4357,Story
5631,4662,Linn
5770,3779,Webster
5910,4987,Story
6037,4667,Madison
6081,4561,Black Hawk
6332,4686,Clinton
6716,4813,Clinton
7418,4926,Polk
7684,5137,Polk
8105,4979,Linn
8971,4620,Adair
9178,4451,Hamilton
9210,4367,Cerro Gordo
9233,4768,Polk
9442,4430,Webster
9686,4420,Wapello
9770,4925,Polk
9899,4431,Webster
10036,5022,Polk
11165,4704,Pottawattamie
12464,4445,Hamilton
12912,5152,Black Hawk
13421,4398,Wright
13453,4372,Cerro Gordo
13489,4957,Sac
13557,4470,Black Hawk
13677,4742,Pottawattamie
14545,5192,Linn
15623,4112,Johnson
21131,5095,Pottawattamie
26471,5047,Linn
31823,3655,Woodbury
33970,5066,Dubuque
36079,5189,Polk
159264,4961,Dubuque
409406,5178,Muscatine
808277,4903,Appanoose
1549073,4307,Harrison
1859715,9929,JOHNSON
1925501,9018,DUBUQUE
2183787,9930,BLACK HAWK
1,2205,Page
20,5093,Scott
69,4881,Carroll
137,4860,Linn
232,2954,Polk
238,5036,Linn
271,2959,Polk
328,4288,Linn
333,4625,Pottawattamie
340,2487,Jones
349,3437,Warren
391,3692,Linn
396,3631,Audubon
405,4572,Grundy
520,4812,Floyd
531,4681,Fayette
706,4308,Johnson
781,2367,Page
945,3529,Cherokee
980,3970,Story
1271,4729,Crawford
1340,3761,Taylor
1457,5053,Johnson
1800,2955,Polk
1966,4276,Winnebago
2041,2958,Polk
2260,5008,Palo Alto
2393,2956,Polk
2402,2962,Polk
2718,4672,Clayton
2892,4349,Polk
2975,4386,Marshall
3039,2953,Polk
3074,5085,Black Hawk
3226,2963,Polk
3585,4834,Muscatine
3642,5168,Linn
4024,5139,Black Hawk
4241,2599,Johnson
4614,5038,Black Hawk
4648,4071,Jasper
4797,4030,Dickinson
5020,2951,Polk
5415,5026,Iowa
5818,3925,Iowa
7110,4432,Johnson
7466,4691,Hardin
7561,4683,Black Hawk
7792,4322,Jasper
8078,4085,Black Hawk
8160,4567,Polk
8212,4920,Polk
8651,4776,Carroll
10838,4990,Cass
10947,4188,Dubuque
11055,4012,Polk
11149,2961,Polk
11524,3440,Polk
12533,5030,Black Hawk
12615,4889,Polk
13123,3451,Clinton
15257,4335,Lyon
15790,4586,Calhoun
16732,4583,Calhoun
18014,5033,Black Hawk
21172,3864,Sac
21278,4939,Polk
24269,4425,Pottawattamie
25969,4870,Scott
27962,4270,Wapello
30164,4488,Linn
36446,4121,Louisa
47886,3969,Adair
50175,4954,Polk
54162,5084,Linn
54233,5136,Polk
65726,5032,Polk
65871,4486,Dickinson
75527,4059,Benton
57,4117,Dickinson
188,2964,Polk
208,4616,Clay
238,4075,Black Hawk
317,4963,Cedar
407,4381,Iowa
419,4964,Muscatine
489,4007,Winneshiek
523,4340,Story
549,3352,Delaware
556,4108,Polk
635,3614,Ida
652,4403,Polk
667,4221,Black Hawk
692,3797,Scott
1069,2537,Webster
1169,5049,Bremer
1253,4835,Linn
1360,4181,Dubuque
1387,4093,Webster
1663,4099,Floyd
1676,4005,Allamakee
1866,4931,Black Hawk
2031,3962,Shelby
2074,3791,Greene
2118,2510,Linn
2234,4036,Black Hawk
2295,2659,Wayne
2401,4072,Scott
2507,4772,Polk
2533,4574,Kossuth
2609,3994,Dickinson
3605,3616,Pocahontas
3606,4875,Black Hawk
3654,4332,Polk
3857,4050,Black Hawk
4026,2583,Washington
4220,3798,Sioux
4311,2960,Polk
4533,3915,Sac
4565,2638,Black Hawk
4629,3847,Black Hawk
4764,4976,Woodbury
5167,3976,Iowa
5678,3615,Palo Alto
6589,4951,Linn
6749,4955,Cerro Gordo
7025,4465,Calhoun
7598,4928,Polk
9681,4139,Polk
10042,4865,Pocahontas
10177,4994,Black Hawk
11599,4966,Buena Vista
12816,4936,Pottawattamie
12973,4946,Black Hawk
14023,4225,Marshall
16218,4977,Woodbury
18607,3534,Chickasaw
19036,4693,Linn
19121,4784,Linn
22149,4618,Linn
25654,4494,Woodbury
26026,4029,Delaware
29237,4906,Linn
41249,4101,Story
41560,4646,Buchanan
43722,4632,Polk
44074,3003,Calhoun
47180,3536,Wright
47299,4095,Black Hawk
85682,5016,Linn
98339,4441,Clayton
110057,4965,Buena Vista
127265,4460,Clayton
138419,4816,Page
140964,4534,Jackson
166798,4331,Fayette
283043,4871,Allamakee
1568970,9014,Ida
2,3929,Black Hawk
11,4187,Osceola
89,4564,Cedar
134,4758,Buena Vista
290,3583,Wayne
370,3878,Black Hawk
410,4526,Scott
457,4219,Cerro Gordo
562,4593,Sioux
565,4581,Black Hawk
599,4833,Clarke
643,3482,Carroll
675,4257,Black Hawk
737,4347,Scott
808,2503,Polk
887,3016,Bremer
891,3531,Mitchell
993,3885,Buchanan
1066,4649,Pottawattamie
1234,4484,Muscatine
1330,3911,Iowa
1545,4302,Polk
1552,4442,Sioux
1643,4348,Muscatine
1807,4035,Black Hawk
1810,3697,Dubuque
1910,4809,Chickasaw
1952,4327,Linn
2034,4894,Scott
2057,2664,Floyd
2195,4814,Black Hawk
2539,3895,Des Moines
2708,4304,Polk
2788,4328,Winneshiek
2839,4076,Scott
3224,4606,Woodbury
3355,4294,Hamilton
3709,4043,Des Moines
3748,4614,Polk
3895,4886,Linn
4082,4851,Linn
4213,4078,Black Hawk
4342,4850,Linn
4830,4080,Black Hawk
5061,3492,Calhoun
5311,4922,Marshall
5508,4109,Polk
6944,2422,Polk
7750,4044,Des Moines
10008,4341,Cass
10410,4826,Monroe
11178,3734,O'Brien
14337,4422,Adair
16977,4671,Black Hawk
22894,4822,Mahaska
25837,4680,Polk
28562,3725,Emmet
28681,4916,Wapello
30461,4033,Clayton
31219,4918,Buena Vista
36699,4052,Woodbury
46612,4113,Pottawattamie
51325,4832,Page
53421,4215,Black Hawk
78341,3812,Buena Vista
95189,4333,Black Hawk
95261,4570,Clay
113614,4815,Page
479107,3543,Plymouth
1382902,9017,Van Buren
27,3906,Des Moines
53,2534,Polk
154,3480,Clay
208,4280,Scott
224,2132,Fayette
261,3760,Scott
305,4483,Johnson
334,2645,Muscatine
351,4309,Pottawattamie
637,2511,Linn
686,4094,Story
704,4038,Crawford
763,4639,Webster
808,4399,Dallas
896,4039,Pottawattamie
939,3852,Linn
1203,2634,Story
1217,4049,Mills
1231,4040,Pottawattamie
1245,4763,Linn
1324,4282,Linn
1421,4363,Clarke
1459,4330,Jasper
1583,3554,Bremer
1612,4666,Polk
1701,4469,Carroll
1931,4329,Polk
2007,4115,Polk
2036,4218,Black Hawk
2351,4262,Carroll
2464,4391,Adair
2518,4041,Clinton
2617,4394,Shelby
2642,4144,Floyd
2751,4350,Marshall
2975,3064,Dallas
3325,4066,Warren
4035,4550,Black Hawk
4153,3642,Lee
4185,4213,Clinton
4263,3596,Howard
4280,4323,Webster
4297,2161,Winneshiek
4571,4352,Union
4774,4383,Union
6379,4259,Mahaska
6609,4579,Clinton
8200,4400,Mahaska
8476,4389,Monroe
8800,4026,Woodbury
10576,4390,Page
10958,3530,O'Brien
11644,3569,Marion
12737,3172,Cerro Gordo
14753,4174,Lee
15430,4682,Marion
29905,4407,Marion
36483,4354,Page
37582,3832,Lyon
44455,2260,Dallas
140583,4226,Allamakee
142813,4830,Polk
143579,4314,Adair
