,Store Number,County
12163,5005,POCAHONTAS
12186,4542,POCAHONTAS
12199,4527,HUMBOLDT
12223,4757,POLK
12298,4103,STORY
12314,4940,Polk
12361,5279,STORY
12371,4428,STORY
12399,4437,STORY
12437,2500,STORY
12713,2501,STORY
12966,4129,STORY
13144,2609,STORY
13170,4438,STORY
13187,3866,STORY
13206,4004,STORY
13217,4674,STORY
13299,4105,STORY
13345,5000,STORY
13354,5135,STORY
13371,3952,SCOTT
13373,4453,WINNEBAGO
13378,3772,POLK
13401,4448,POLK
13406,5250,POLK
13460,2625,SCOTT
13640,3776,SCOTT
13689,2603,SCOTT
13693,4192,SCOTT
14114,5013,SCOTT
14137,5335,SCOTT
14159,4717,SCOTT
14167,2840,SCOTT
14184,3715,SCOTT
14244,2614,SCOTT
14292,4630,SCOTT
14352,4640,SCOTT
14389,4652,SCOTT
14408,5319,SCOTT
14445,3853,SCOTT
14476,2637,SCOTT
14509,5257,WAPELLO
14601,5003,SCOTT
14629,2502,POLK
14725,3723,MONONA
14903,4971,Polk
14940,4433,Polk
14975,3949,MARION
14986,2642,MARION
15064,3990,MAHASKA
15176,3735,Buchanan
15216,4300,MAHASKA
15228,4821,MAHASKA
15236,2596,WAPELLO
15310,3726,WAPELLO
15341,2543,Wapello
15597,4069,WAPELLO
15609,3916,WAPELLO
15651,5300,Wapello
15755,2611,WAPELLO
15862,2548,POLK
15989,2238,POLK
16111,2594,WOODBURY
16134,5348,MARSHALL
16301,4202,WOODBURY
16320,3879,WOODBURY
16324,5351,WOODBURY
16343,4879,WOODBURY
16381,4884,WOODBURY
16402,4565,WOODBURY
16422,2621,WOODBURY
16517,3808,BLACK HAWK
16588,3869,JOHNSON
16666,4452,WOODBURY
16785,2623,WOODBURY
16967,3820,WOODBURY
17101,4975,WOODBURY
17126,4588,WOODBURY
17153,4558,WOODBURY
17188,2667,WOODBURY
17230,4200,WOODBURY
17244,4568,WOODBURY
17281,3757,WOODBURY
17326,5086,WOODBURY
17342,3447,WOODBURY
17360,3722,WOODBURY
17394,4201,WOODBURY
17414,5027,WOODBURY
17431,4676,WOODBURY
17443,4197,WOODBURY
17472,4888,WOODBURY
17496,4444,WOODBURY
17520,5264,POLK
17576,3942,TAMA
17641,4195,TAMA
17659,4025,BENTON
17684,4070,BENTON
17731,5268,BENTON
17747,2618,LINN
17762,3417,IOWA
17905,4439,LINN
17930,4346,BENTON
17969,5292,BENTON
17976,4228,BENTON
17988,4298,TAMA
18026,5202,BLACK HAWK
18041,4978,BLACK HAWK
18049,4557,TAMA
18067,5323,TAMA
18080,5284,POWESHIEK
18104,3873,JOHNSON
18120,2670,JOHNSON
18345,5009,JOHNSON
18537,4157,JOHNSON
18550,3928,JOHNSON
18557,5105,JOHNSON
18700,2508,LINN
19015,5222,LINN
19046,2568,LINN
19073,5356,LINN
19113,3890,LINN
19175,5073,LINN
19185,2846,LINN
19212,4162,LINN
19232,5190,Linn
19283,4393,POLK
19302,5339,IOWA
19344,5150,Poweshiek
19357,3629,POTTAWATTA
19358,5360,SCOTT
19425,3762,Polk
19468,4773,POLK
19491,9906,POLK
19499,4849,POLK
19548,5102,LINN
19556,2626,POLK
19574,2635,SCOTT
19823,3731,SCOTT
19885,3354,SCOTT
19913,2838,SCOTT
19930,4751,SCOTT
19939,4694,SCOTT
19953,2567,SCOTT
20076,4638,SCOTT
20099,3858,SCOTT
20130,5215,SCOTT
20155,4196,SCOTT
20179,5029,SCOTT
20235,4847,Scott
20287,3420,Polk
20309,3645,Polk
20344,4461,Polk
20403,4388,POLK
20443,2854,POLK
20528,4392,POLK
20569,4732,POLK
20578,4733,POLK
20586,4661,POLK
20612,4374,POLK
20632,4209,POLK
20673,4375,POLK
20687,4344,POLK
20842,4901,POLK
20868,4362,POLK
20878,4083,POLK
20913,4609,Polk
20926,4397,POLK
20942,4405,POLK
20986,2106,BLACK HAWK
21074,2130,BLACK HAWK
21178,5155,BLACK HAWK
21213,4988,BLACK HAWK
21223,4932,BLACK HAWK
21312,4959,BLACK HAWK
21385,3995,BLACK HAWK
21421,4761,BLACK HAWK
21429,4958,BLACK HAWK
21525,3713,CERRO GORD
21552,3528,CERRO GORD
21573,2515,CERRO GORD
21611,3664,WORTH
21771,2652,CERRO GORD
21869,2582,CERRO GORD
21994,5034,CERRO GORD
22025,5251,CERRO GORD
22075,4668,Cerro Gord
22092,3456,Cerro Gord
22270,4969,Cerro Gord
22381,4091,Cerro Gord
22402,5069,WINNEBAGO
22408,5334,WINNEBAGO
22446,5115,WORTH
22458,4104,CERRO GORD
22469,5280,CERRO GORD
22483,5247,CERRO GORD
22521,3525,WASHINGTON
22579,2517,JASPER
22711,4807,IOWA
22730,4787,JOHNSON
22773,4493,LINN
22938,4500,JOHNSON
22979,4427,JOHNSON
23002,5196,JOHNSON
23015,4713,JOHNSON
23033,3670,JOHNSON
23098,4366,JOHNSON
23121,5011,IOWA
23141,3888,POWESHIEK
23152,2579,POWESHIEK
23195,3054,POWESHIEK
23215,4345,POWESHIEK
23297,4185,POWESHIEK
23319,5138,JASPER
23342,4604,JASPER
23468,5116,Webster
23515,4194,JASPER
23537,3041,JASPER
23583,3514,WEBSTER
23626,9002,Scott
23636,9902,Scott
23640,5321,BENTON
23645,5303,MARSHALL
23662,3719,MARSHALL
23687,2544,MARSHALL
23948,5248,MARSHALL
24018,5346,MARSHALL
24088,4756,MARSHALL
24094,5324,MARSHALL
24130,5179,JASPER
24141,4727,POLK
24159,4810,POLK
24177,4084,Polk
24194,4404,POLK
24205,4726,POLK
24432,4601,POLK
24450,4598,POLK
24474,4795,POLK
24477,5125,POLK
24541,4803,POLK
24555,4140,POLK
24779,4802,POLK
24790,5162,POLK
24801,3877,Polk
24935,4941,POLK
25121,4447,POLK
25132,2587,POLK
25356,2648,POLK
25588,4368,POLK
25603,4725,Polk
25831,2528,POLK
26020,4603,POLK
26057,2561,POLK
26231,4301,POLK
26259,5129,POLK
26297,4595,POLK
26347,4997,POLK
26388,4942,POLK
26395,2849,POLK
26409,4798,POLK
26438,3678,POLK
26449,4877,POLK
26461,2248,POLK
26521,5127,POLK
26588,4804,POLK
26602,2535,POLK
26641,4230,POLK
26654,2630,POLK
26673,4373,POLK
26680,3814,Dallas
26692,3899,POLK
26944,5347,POLK
26965,4927,POLK
26993,2521,POLK
27165,5146,POLK
27177,4718,POLK
27235,4521,GREENE
27264,4190,GREENE
27325,2671,GREENE
27367,5205,CARROLL
27387,4158,CARROLL
27406,4613,CARROLL
27419,4688,CARROLL
27441,2593,CARROLL
27477,4014,CRAWFORD
27602,4410,Boone
27620,4001,CARROLL
27651,2595,CRAWFORD
27805,3756,CARROLL
27846,5343,CARROLL
27858,4917,DALLAS
27874,2612,DALLAS
27990,4320,Boone
28014,5012,Boone
28034,3831,BOONE
28061,3987,KOSSUTH
28064,4169,POLK
28111,4385,WARREN
28146,5144,POLK
28201,2628,HARDIN
28219,4110,BUTLER
28272,2657,TAYLOR
28375,2620,Polk
28625,4893,POLK
28639,4594,POLK
28664,4369,WARREN
28675,4092,WARREN
28700,4260,CLARKE
28720,2550,CLARKE
28772,3997,CLARKE
28782,4419,DECATUR
28788,2668,DECATUR
28819,3826,CLARKE
28855,4382,POLK
28937,4801,POLK
28952,5098,POLK
28962,4165,Polk
28980,4549,STORY
28986,5337,GRUNDY
29008,4659,GRUNDY
29031,4250,HARDIN
29074,4455,HARDIN
29081,4657,GRUNDY
29087,5206,GRUNDY
29127,4495,GRUNDY
29147,4396,GRUNDY
29179,4306,FRANKLIN
29223,4547,FRANKLIN
29248,4421,FRANKLIN
29273,2460,FRANKLIN
29314,4658,HARDIN
29327,4284,HARDIN
29340,2658,RINGGOLD
29354,3813,RINGGOLD
29398,2655,PAGE
29424,4249,PAGE
29467,5210,PAGE
29514,4246,PAGE
29523,2607,PAGE
29601,4937,PAGE
29608,4629,MILLS
29637,4708,MILLS
29668,4010,MILLS
29705,4738,POTTAWATTA
29714,4545,POTTAWATTA
29751,4510,MILLS
29768,2518,MONTGOMERY
29883,4318,MONTGOMERY
29899,2656,Clayton
29925,2327,ADAMS
29975,5110,TAYLOR
30000,3830,UNION
30029,2553,UNION
30066,2672,MADISON
30091,4823,UNION
30113,4291,UNION
30162,4531,UNION
30169,2228,MADISON
30222,4848,MADISON
30296,4907,BLACK HAWK
30309,4947,Black Hawk
30451,4147,BLACK HAWK
30463,3819,WINNESHIEK
30469,4631,BLACK HAWK
30490,4914,BLACK HAWK
30507,2835,BLACK HAWK
30523,4723,BLACK HAWK
30536,5007,BREMER
30550,5181,BREMER
30560,5352,BREMER
30581,3717,BREMER
30607,3857,ALLAMAKEE
30637,4762,WINNESHIEK
30727,4818,WINNESHIEK
30728,4183,WINNESHIEK
30773,3721,WINNESHIEK
30806,4289,ALLAMAKEE
30826,2178,ALLAMAKEE
30918,5017,ALLAMAKEE
30959,5330,ALLAMAKEE
30988,4973,FAYETTE
31043,4466,FAYETTE
31055,5180,FAYETTE
31071,4628,FAYETTE
31089,4156,FAYETTE
31110,5199,FAYETTE
31123,3584,FAYETTE
31163,4395,HAMILTON
31183,4651,HAMILTON
31208,5297,HAMILTON
31232,2602,HAMILTON
31262,4709,STORY
31388,5187,STORY
31405,4235,HAMILTON
31420,5296,HAMILTON
31427,4133,HAMILTON
31450,4459,WRIGHT
31465,4236,WRIGHT
31531,4556,WRIGHT
31542,3056,WRIGHT
31567,4591,WRIGHT
31579,5287,WRIGHT
31585,5302,WRIGHT
31595,3654,WRIGHT
31611,4247,WRIGHT
31628,4172,HARDIN
31649,4355,STORY
31671,4081,STORY
31738,4102,STORY
31785,4675,STORY
31807,4767,Polk
31832,5245,POLK
31909,5051,POLK
31934,4478,POLK
31969,4597,POLK
32016,5145,POLK
32056,4186,POLK
32076,5131,POLK
32116,3700,POTTAWATTA
32163,5322,POTTAWATTA
32190,4743,POTTAWATTA
32240,3443,POTTAWATTA
32316,3728,POTTAWATTA
32388,4476,POTTAWATTA
32399,5182,POTTAWATTA
32424,3963,POTTAWATTA
32490,4740,POTTAWATTA
32504,5327,POTTAWATTA
32508,4317,ADAIR
32559,4626,POTTAWATTA
32579,4808,POTTAWATTA
32591,4474,POTTAWATTA
32615,4608,POTTAWATTA
32652,5314,POTTAWATTA
32750,4462,WINNEBAGO
32768,4509,STORY
32777,3477,POTTAWATTA
32813,4503,POTTAWATTA
32862,4516,POTTAWATTA
32947,4463,HANCOCK
32973,4780,HANCOCK
32983,3682,KOSSUTH
33001,4268,KOSSUTH
33058,2585,KOSSUTH
33174,3842,KOSSUTH
33224,4650,KOSSUTH
33259,4073,WINNEBAGO
33358,3881,MARSHALL
33408,5126,POLK
33547,2539,HARDIN
33675,2651,BREMER
33866,4146,BREMER
33906,4538,BUTLER
33913,4999,BUTLER
33923,4700,BUTLER
33936,3676,BUTLER
33997,4203,BREMER
34036,4924,CHICKASAW
34072,3688,CHICKASAW
34087,4285,CHICKASAW
34157,4143,CHICKASAW
34287,4233,HOWARD
34328,4769,HOWARD
34347,4559,MITCHELL
34440,3542,Mitchell
34468,4986,FLOYD
34485,5134,FLOYD
34497,5121,FLOYD
34536,4321,FLOYD
34572,2578,FLOYD
34697,4524,FLOYD
34727,3045,HANCOCK
34759,4600,POLK
34823,4273,POLK
34928,4057,POLK
34929,3825,POLK
34974,4062,POLK
35055,5128,POLK
35109,2852,POLK
35161,3612,JACKSON
35186,3778,POLK
35289,2850,POLK
