,Store Number,Address
8779,4511,303 SE 30th St
8790,4068,136  1ST ST
8811,5169,"5120, NE 14th Street"
8823,3909,104 SE  A St
8844,2551,2001 West Court
8913,5059,207 Front St
8935,2669,"103, E Jackson St"
8955,4027,23148 Hwy 5
8972,4271,305 S 18th St
8983,2523,414 N 18th St
9061,3013,207 E Locust St
9091,4046,113 W Vanburen
9118,2559,301 Hwy. 34 West
9157,4011,121 North Clinton
9190,4789,419 Merrill St
9196,4817,"1201, E Main St"
9222,3818,703 W Pleasant St
9298,2566,813 N Lincoln Ste 1
9382,4275,1308 S Lincoln St
9396,5080,719 2nd Ave W
9410,3660,814 W Bell Ave
9422,5050,"1115, Bluestem Dr"
9453,2190,1460 2ND AVE
9556,5309,1443 2nd Ave
9565,3783,14 1/2 E Elm
9624,3626,500  11th St
9647,4234,104 E Eighth St
9660,2565,819 N Grand Ave
10009,3390,1610 Okoboji Avenue
10105,5068,612 S Highway 71
10147,5293,"228, N Hwy 71"
10179,5104,"72, N Okoboji Grove Rd"
10211,2233,2508 Enterprise Ave
10238,3622,2600 Hwy 71
10258,2522,Hwy 9 & 71
10353,4239,1906 Keokuk
10376,4387,300 18th St
10386,4582,"2402, 17th St"
10418,5154,"201, Market St"
10437,4272,1108 Central Ave
10499,2556,2608 E. Central Avenue
10546,4269,610 Cedar St
10619,4783,2406 Main St
10629,3704,1122 Broadway
10731,4254,2008  12th St
10746,4592,"2401, Main"
10785,2445,504 South Highway
10786,2512,1720 Waterfront Dr
11019,4013,1126 Highway 38 North
11031,5329,2293 Hwy 30
11050,5106,622 10th  St
11086,5298,"630, 6th Ave"
11107,3920,1606 Camanche Ave
11172,2616,901 South 4th St
11373,5227,"320, N  4th St"
11409,2806,1307 N Second
11486,4204,1350 11th St NW
11502,4864,1641 S Bluff Blvd
11527,3647,2715 South 25th St
11555,4132,908 7th Ave
11568,2475,206 2nd Ave NE
11577,3732,425 E Leclaire Rd
11623,3845,210 North Hwy
11680,3592,3036 1st Ave South
11730,2562,115 South 29th St
11766,2663,8701 Douglas
11777,5237,"606, N 15th St"
11799,2644,1511 2nd Ave North
11910,4311,1231  1st Ave S
11929,5238,"1923, 5th  Ave  S"
11969,5167,"1724, 5th  Ave S"
12039,4805,902 1st Ave N
12047,4319,710 First Ave N
12071,2606,1011  13th St North
12116,3524,305 Airport Rd
12163,5005,410 W Main St
12186,4542,520 W Main St
12199,4527,105 SE First St
12223,4757,1111 SE Lincoln St
12298,4103,3619 Stange Rd
12314,4940,301 WATER ST
12361,5279,3020 Duff Ave
12371,4428,4510 Mortensen Rd
12399,4437,4506 Lincoln Way
12437,2500,3800 W Lincoln Way
12713,2501,640 Lincolnway
12966,4129,626 Lincoln Way
13144,2609,500 Main St
13170,4438,111 Duff Ave
13187,3866,320 S Duff
13206,4004,534 S Duff Ave
13217,4674,2108 ISAAC NEWTON DR
13299,4105,1505 South B Ave
13345,5000,1800 South B Ave
13354,5135,911 Hwy 69
13371,3952,3780 State St
13373,4453,"1116, Hwy 69 South"
13378,3772,2127 M L KING JR PKWY
13401,4448,4860 NW Urbandale Dr
13406,5250,3804 Hubbell Ave
13460,2625,3301 W Kimberly Rd
13640,3776,3101 West Kimberly Rd
13689,2603,2890 Devils Glen Road
13693,4192,3800 Belmont Rd
14114,5013,3715 State St
14137,5335,1810 State Street
14159,4717,3425 Middle Rd
14167,2840,2002 Spruce Hills Dr
14184,3715,1714 E Kimberly Rd
14244,2614,1823 E Kimberly Rd
14292,4630,2923 Brady St
14352,4640,"3527, Spring St"
14389,4652,"3107, Brady St"
14408,5319,1802 W 7th St
14445,3853,3108 West Central Park Ave #2
14476,2637,2351 W Locust
14509,5257,"405, Madison Ave"
14601,5003,2604 W Locust St
14629,2502,410 North Ankeny Blvd
14725,3723,1023  9th St
14903,4971,"5500, E University Ave"
14940,4433,5970 Morning Star Ct
14975,3949,1650 Washington St
14986,2642,512 E Oskaloosa
15064,3990,309 A Ave West
15176,3735,1202 A Ave East
15216,4300,311  3rd Ave W
15228,4821,901 S Market St
15236,2596,2453 North Court
15310,3726,1940 Venture Dr
15341,2543,1025 North Quincy Ave
15597,4069,1325 Albia Rd
15609,3916,1115 Albia Rd
15651,5300,534 Church St
15755,2611,1140 North Jefferson St
15862,2548,100 8th Street SW
15989,2238,3200 Adventureland Dr
16111,2594,4500 Sergeant Road
16134,5348,806 W Main St.
16301,4202,4267 Sergeant Rd
16320,3879,5775 Sunnybrook Dr
16324,5351,1203 5th St.
16343,4879,4218 MORNINGSIDE AVE
16381,4884,"4523, Morningside Ave"
16402,4565,1925 S Lakeport St
16422,2621,3301 Gordon Dr
16517,3808,300  4th St
16588,3869,412  1st Ave
16666,4452,2825 Gordon Dr
16785,2623,2827 Hamilton Blvd
16967,3820,507 W 19th St
17101,4975,1900 Hamilton Blvd
17126,4588,923 W 7TH ST
17153,4558,1373 Pierce St
17188,2667,2611 Pierce St
17230,4200,4016 Indian Hills Dr
17244,4568,4103 Floyd Blvd
17281,3757,3101 Floyd Blvd
17326,5086,"2501, Floyd Blvd"
17342,3447,4201 S. York St.
17360,3722,3400 Singing Hills Blvd
17394,4201,4040 War Eagle Dr
17414,5027,111 3rd St
17431,4676,711 Gordon Dr
17443,4197,700  1st St
17472,4888,302 1st St
17496,4444,1864 Hwy 141
17520,5264,"309, Center Ave"
17576,3942,104 Highway 30 West
17641,4195,1005 S County Line Rd
17659,4025,702 13th St
17684,4070,708  13th St
17731,5268,"188, Parkridge Rd"
17747,2618,505 Boyson Rd NE
17762,3417,Po Box 261  310 W Dillon
17905,4439,800 Ford Lane
17930,4346,105 Pearl St
17969,5292,"814, C Ave"
17976,4228,501 A Ave
17988,4298,305 Crisman St
18026,5202,"115, 25th  Ave"
18041,4978,3535 Marigold Dr
18049,4557,420 Second St
18067,5323,320 2nd St
18080,5284,"122, Front St."
18104,3873,1441 Coral Ridge Ave
18120,2670,2004 8th  St
18345,5009,1101 2ND ST
18537,4157,615 Westwood Dr   P.o Box 96
18550,3928,465 Hwy 965 Unit G
18557,5105,585 HIGHWAY 965
18700,2508,"1843 Johnson Avenue, N.W."
19015,5222,"1500, 1st  Ave NE"
19046,2568,1556 First Avenue NE
19073,5356,1532 Ellis Blvd NW
19113,3890,904  1st Ave NW
19175,5073,"2601, Williams Blvd SW"
19185,2846,3419 16th Ave SW
19212,4162,4220  16th Ave SW
19232,5190,200 Hwy 151 E
19283,4393,1725 NW 86th St
19302,5339,395 Western Avenue
19344,5150,"901, 3rd  St"
19357,3629,3200 Manawa Dr
19358,5360,1610 Rockingham Rd
19425,3762,7690 Hickman Rd
19468,4773,2704 Vine St
19491,9906,2515 Dean Avenue
19499,4849,"801, University Ave"
19548,5102,724 1st  St  SE
19556,2626,4100 University Ave
19574,2635,4064 E 53rd St
19823,3731,5811 Elmore Ave
19885,3354,3845 Elmore Ave.
19913,2838,1655 W Kimberly Rd
19930,4751,1720 W Kimberly Rd
19939,4694,"3815, West Kimberly Rd"
19953,2567,2200 West Kimberly
20076,4638,4607 N Pine St
20099,3858,6723 NW Blvd Unit 2
20130,5215,"1220, N Cody Rd"
20155,4196,1635 West 53rd St
20179,5029,"211, W 53rd St"
20235,4847,1301 Eagle Ridge Rd
20287,3420,1101  73RD STREET
20309,3645,1001  73rd St
20344,4461,7220 Hickman Rd
20403,4388,11925 University Ave
20443,2854,14201 Hickman Rd
20528,4392,15600 Hickman Rd
20569,4732,15601 Hickman Rd
20578,4733,4600 86th St
20586,4661,"1900, SE 37th St"
20612,4374,1950 Princeton Dr
20632,4209,2150 East 1st St
20673,4375,801 N 1st St
20687,4344,109 East 1st St Ste B
20842,4901,1101 S 5th St
20868,4362,303 W Broadway St
20878,4083,109 SE Oralabor Rd
20913,4609,165 SW Magazine Rd
20926,4397,802 E 1st St
20942,4405,1025 E  1st St
20986,2106,2217 College
21074,2130,617 Sycamore
21178,5155,"1459, Ansborough Ave"
21213,4988,5925 University Ave
21223,4932,3105 Hudson Rd
21312,4959,2128 College St
21385,3995,6027 University Ave Ste 100
21421,4761,3910 University Ave
21429,4958,809 E 18th St
21525,3713,4151  4th St SW
21552,3528,3450  4th St SW
21573,2515,2400 4th St SW
21611,3664,90 10th St S
21771,2652,875  4th St SW
21869,2582,551 S Illinois Ave
21994,5034,18 N Monroe Ave
22025,5251,"1303, North Federal"
22075,4668,20 South 4th St
22092,3456,904 N 8th St
22270,4969,910 N 8th St W
22381,4091,910 Hwy 18 W
22402,5069,101 N Lake St
22408,5334,107 N Mill St
22446,5115,"204, E South St"
22458,4104,400 North Delaware Ave
22469,5280,1920 Federal Ave S
22483,5247,202 4th  ST  N
22521,3525,106 W 2nd St
22579,2517,1501 First Avenue East
22711,4807,"103, W Walnut St"
22730,4787,2722 NE 120th St
22773,4493,5655 C St SW
22938,4500,595 N Kansas Ave
22979,4427,610 N Kansas Ave
23002,5196,100 E  OAKDALE BLVD
23015,4713,2751 Heartland Dr
23033,3670,2801 Commerce Dr
23098,4366,101 Village Dr
23121,5011,2177 M Ave
23141,3888,415 Industrial Ave
23152,2579,320 West Street South
23195,3054,1026 Main
23215,4345,1031 West St
23297,4185,727 West St
23319,5138,"103, Blair St"
23342,4604,"1324, 1st Ave E"
23468,5116,"702, 1st Ave E"
23515,4194,120 N 3rd Ave E
23537,3041,28 E Howard
23583,3514,328  2nd Ave S
23626,9002,303 N Cody Rd
23636,9902,303 N Cody Road
23640,5321,606 13th St
23645,5303,108 Iowa Ave W
23662,3719,2802 S Center St
23687,2544,802 South Center
23948,5248,"114, N  Center  St"
24018,5346,1116 East Nevada St
24088,4756,5 E Anson
24094,5324,120 E. Main St.
24130,5179,"103, N  Main St"
24141,4727,2702 SE Delaware Ave
24159,4810,3603 NE Otterview Circle
24177,4084,3205 North Ankeny Blvd
24194,4404,1825 N Ankeny Blvd
24205,4726,901 N Ankeny Blvd
24432,4601,2110 Guthrie Ave
24450,4598,2221 E Euclid Ave
24474,4795,2545 E Euclid Ave
24477,5125,1320 E  Euclid Ave
24541,4803,104 E Euclid Ave
24555,4140,100 Euclid Ave
24779,4802,4415 Douglas Ave
24790,5162,"6401, Douglas Ave"
24801,3877,5901 Douglas Ave
24935,4941,6990 Douglas Ave
25121,4447,"9915, Douglas Ave"
25132,2587,5750 Merle Hay Road
25356,2648,555 S 51st St
25588,4368,5800 Northglen Dr
