,Store Number,City
11910,4311,Fort Dodge
11929,5238,Fort Dodge
11969,5167,Fort Dodge
12039,4805,Fort Dodge
12047,4319,Humboldt
12071,2606,Humboldt
12116,3524,Ames
12163,5005,Laurens
12186,4542,Laurens
12199,4527,Gilmore City
12223,4757,Bondurant
12298,4103,Ames
12314,4940,Cambridge
12361,5279,Ames
12371,4428,Ames
12399,4437,Ames
12437,2500,Ames
12713,2501,Ames
12966,4129,Ames
13144,2609,Ames
13170,4438,Ames
13187,3866,Ames
13206,4004,Ames
13217,4674,Ames
13299,4105,Nevada
13345,5000,Nevada
13354,5135,Huxley
13371,3952,Bettendorf
13373,4453,Forest City
13378,3772,Des Moines
13401,4448,Urbandale
13406,5250,Des Moines
13460,2625,Davenport
13640,3776,Davenport
13689,2603,Bettendorf
13693,4192,Bettendorf
14114,5013,Bettendorf
14137,5335,Bettendorf
14159,4717,Bettendorf
14167,2840,Bettendorf
14184,3715,Davenport
14244,2614,Davenport
14292,4630,Davenport
14352,4640,Davenport
14389,4652,Davenport
14408,5319,Davenport
14445,3853,Davenport
14476,2637,Davenport
14509,5257,Ottumwa
14601,5003,Davenport
14629,2502,Ankeny
14725,3723,Onawa
14903,4971,Pleasant Hill
14940,4433,Pleasant Hill
14975,3949,Pella
14986,2642,Pella
15064,3990,Oskaloosa
15176,3735,Oskaloosa
15216,4300,Oskaloosa
15228,4821,Oskaloosa
15236,2596,Ottumwa
15310,3726,Ottumwa
15341,2543,Ottuwma
15597,4069,Ottumwa
15609,3916,Ottumwa
15651,5300,Otumwa
15755,2611,Ottumwa
15862,2548,Altoona
15989,2238,Altoona
16111,2594,Sioux City
16134,5348,Le Grand
16301,4202,Sioux City
16320,3879,Sioux City
16324,5351,Sioux City
16343,4879,Sioux City
16381,4884,Sioux City
16402,4565,Sioux City
16422,2621,Sioux City
16517,3808,La Porte City
16588,3869,Coralville
16666,4452,Sioux City
16785,2623,Sioux City
16967,3820,Sioux City
17101,4975,Sioux City
17126,4588,Sioux City
17153,4558,Sioux City
17188,2667,Sioux City
17230,4200,Sioux City
17244,4568,Sioux City
17281,3757,Sioux City
17326,5086,Sioux City
17342,3447,Sioux City
17360,3722,Sioux City
17394,4201,Sioux City
17414,5027,Sioux City
17431,4676,Sioux City
17443,4197,Sergeant Bluff
17472,4888,Sergeant Bluff
17496,4444,Sloan
17520,5264,Mitchellville
17576,3942,Toledo
17641,4195,Toledo
17659,4025,Belle Plaine
17684,4070,Belle Plaine
17731,5268,Atkins
17747,2618,Cedar Rapids
17762,3417,Marengo
17905,4439,Center Point
17930,4346,Shellsburg
17969,5292,Vinton
17976,4228,Vinton
17988,4298,Dysart
18026,5202,Gilbertville
18041,4978,Waterloo
18049,4557,Traer
18067,5323,Gladbrook
18080,5284,Brooklyn
18104,3873,Coralville
18120,2670,Coralville
18345,5009,Coralville
18537,4157,North Liberty
18550,3928,North Liberty
18557,5105,North Liberty
18700,2508,Cedar Rapids
19015,5222,Cedar Rapids
19046,2568,Cedar Rapids
19073,5356,Cedar Rapids
19113,3890,Cedar Rapids
19175,5073,Cedar Rapids
19185,2846,Cedar Rapids
19212,4162,Cedar Rapids
19232,5190,Walford
19283,4393,Clive
19302,5339,Marengo
19344,5150,Victor
19357,3629,Council Bluffs
19358,5360,Davenport
19425,3762,Windsor Heights
19468,4773,West Des Moines
19491,9906,Des Moines
19499,4849,Des Moines
19548,5102,Mount Vernon
19556,2626,Des Moines
19574,2635,Davenport
19823,3731,Davenport
19885,3354,Davenport
19913,2838,Davenport
19930,4751,Davenport
19939,4694,Davenport
19953,2567,Davenport
20076,4638,Davenport
20099,3858,Davenport
20130,5215,Le Claire
20155,4196,Davenport
20179,5029,Davenport
20235,4847,Leclaire
20287,3420,Windsor Heights
20309,3645,Windsor Heights
