,Store Number,City
90928,5157,Manson
91012,4838,Ogden
91181,4664,Boone
91223,5159,Rockwell City
91842,5193,Lohrville
92392,5270,Urbandale
92547,4890,Urbandale
92710,4669,Des Moines
92853,4929,Adel
92910,4887,West Des Moines
93797,4759,Waterloo
93818,2836,Waterloo
93921,5294,Waterloo
94301,4948,Wheatland
94830,4645,Eldridge
94875,4912,Eldridge
95422,4507,Spencer
95590,3891,Emmetsburg
95648,5021,Okoboji
96005,4854,Armstrong
96026,4274,Ruthven
96238,5281,Fort Dodge
96377,5288,Fort Dodge
96571,4775,Dakota City
96829,5221,Corydon
96864,5217,Seymour
97019,4232,Moravia
97282,5109,Carlisle
98311,4695,Altoona
99609,4520,Huxley
99828,5262,Bettendorf
101566,5344,Sioux City
101737,5076,Sioux City
101772,5083,Sioux City
101807,5188,Sioux City
102148,5328,Van Horne
103204,5025,Cedar Rapids
103333,4635,Cedar Rapids
103445,5172,Cedar Rapids
105905,4351,Clear Lake
106767,4506,Tiffin
107101,4724,Newton
107191,5275,Newton
107883,4505,Johnston
108262,5170,State Center
108272,4338,Melbourne
108304,3656,Ankeny
108309,5099,Ankeny
109294,3871,West Des Moines
110732,4415,Ackley
111370,4544,Osceola
111422,4782,Lamoni
111783,4573,Hamburg
111854,4602,Pacific Junction
112337,4786,Winterset
112382,4590,Cedar Falls
113041,4938,Hazleton
113659,4739,Council Bluffs
114771,4797,Des Moines
115275,5367,Fredericksburg
115503,3393,Riceville
115625,4533,St Ansgar
117238,5350,Marion
117529,4991,Elkader
118223,4498,Winthrop
118508,4578,Farmington
118655,4692,Keokuk
118764,5213,Montrose
118828,4689,Fort Madison
118961,4857,West Burlington
119367,4858,West Burlington
119390,4983,West Burlington
119678,4699,Bettendorf
119836,4747,Davenport
120351,4552,Buffalo
120479,5336,Muscatine
120742,5259,Glenwood
124025,4523,Exira
126130,4343,Des Moines
126981,4710,Dubuque
127599,3872,Dubuque
127763,5241,Dubuque
128137,5006,Dubuque
128277,4536,Dubuque
128312,5183,Cascade
129532,4730,Johnston
130051,4489,Cedar Rapids
130245,5061,Cedar Rapids
130377,5304,Sac City
130497,5120,Mapleton
130683,4982,Alta
130935,4210,Storm Lake
130957,4737,Storm Lake
132306,5216,Runnells
132771,5233,Pleasantville
133218,4706,Clinton
133396,5355,Eldridge
133607,5278,Spencer
134666,3901,Fort Dodge
137037,5353,Pella
137438,5273,Pella
140411,4454,Sioux City
140697,4968,Brooklyn
141914,5064,Fairfax
143523,4119,Cedar Falls
144046,4513,Polk City
144115,2848,Ankeny
146338,4828,Marshalltown
146362,4528,Marshalltown
149356,4546,Glidden
150130,9001,Swisher
150139,9901,Swisher
150569,4944,Martensdale
150598,4825,Osceola
150737,3582,Leon
150988,5308,Hampton
151439,4643,Red Oak
152519,5186,West Union
153128,4656,Ames
153196,4015,Ames
153335,4785,Avoca
154868,4571,Allison
155284,5366,Charles City
159253,4501,Fairfield
160663,4315,Washington
161006,4468,Muscatine
161512,4627,Sully
162711,4753,Adair
163375,5078,Council Bluffs
163476,5291,Carter Lake
168988,4792,De Soto
170133,3652,Ida Grove
170628,4610,Fonda
172043,5218,Chariton
172288,4811,Lovilia
172630,4325,Villisca
173115,4707,Clinton
174894,5285,Humboldt
177802,5349,Robins
177817,5200,Robins
177848,4548,Walker
178404,4915,Bettendorf
179097,4791,Sioux City
180670,5197,Coralville
181319,5305,Cedar Rapids
182331,5107,Windsor Heights
182916,9010,Norwalk
188121,4653,Jefferson
190371,5276,Stanton
190580,4824,Creston
192230,2845,Council Bluffs
192954,4796,Des Moines
193539,5365,Clarksville
194873,5369,Bellevue
195428,4885,Zwingle
197240,4555,Donnellson
197401,5046,Keokuk
200178,4843,Muscatine
202229,5232,Audubon
202993,5088,Hospers
203011,4985,Merrill
204292,4714,Indianola
205098,5242,Iowa City
206794,5234,Dubuque
210017,5312,Washta
210389,4781,Early
212098,5265,Moravia
212504,5240,West Branch
218830,4750,Davenport
219151,5185,Coralville
225173,4530,Ely
229808,9023,Carroll
230286,4537,Leon
230877,2673,Des Moines
231412,4779,Mount Ayr
237000,9912,Grimes
237546,5370,Arlington
242257,5372,Hartley
242478,5331,George
244239,5191,Guthrie Center
249349,5235,Waukee
259108,5371,Bettendorf
260373,4554,Sioux City
260848,4846,Onawa
278117,4933,Burlington
278209,5361,Burlington
283187,5161,Council Bluffs
287137,5201,Dubuque
287854,5209,Dubuque
287875,4996,Dubuque
295057,4716,Spencer
303106,4755,Mason City
313230,4497,Alden
318873,4992,Danville
323600,5056,Council Bluffs
328141,4766,Dubuque
343948,9919,Clive
354559,5035,Council Bluffs
359378,5373,Guttenberg
365649,5357,Orange City
374796,5377,Rockwell City
377882,4499,Milford
385034,5277,Onawa
391455,5363,Clive
398325,5375,Des Moines
402692,5368,Independence
407938,5376,Hawarden
422878,9925,Des Moines
425786,9927,Templeton
431506,5388,Northwood
431586,5383,Northwood
435451,5385,West Des Moines
436069,5384,Perry
439105,5394,Decorah
439543,5387,Webster City
439765,5386,Eagle Grove
441608,5393,Osage
451913,5392,Bondurant
468637,5380,Sioux City
473479,5391,ClearLake
478471,5378,Albion
487033,5272,Dyersville
494448,5396,Indianola
505617,9928,Cedar Rapids
509888,5390,Sioux City
536372,5405,Coralville
537257,5402,Iowa City
554715,5404,Oxford
573762,5403,Davenport
608575,5410,Truro
616011,5381,Monona
628333,5409,Waukee
634182,5401,Clinton
644550,5399,Manly
647425,5416,Marshalltown
649926,5411,Perry
664728,5413,Inwood
675269,4464,Eldridge
685202,9910,Norwalk
713173,5423,Sheldon
731175,5398,Colfax
738036,5425,Grimes
741063,5389,Cresco
751349,5421,Harlan
752941,5382,Altoona
755277,5427,Dubuque
758423,5256,Sac City
760119,5415,Waterloo
766944,5374,Ottumwa
781664,5424,Council Bluffs
782464,5426,Cedar Falls
810637,5429,Garwin
820967,5430,Webster City
825886,5400,Templeton
828254,5422,Montezuma
849783,5431,Le Mars
851145,5420,Cedar Rapids
852012,4778,Storm Lake
887485,5428,Cedar Rapids
888081,5418,Cedar Rapids
888380,5406,Coralville
892605,5417,Cedar Rapids
902058,5412,Tama
909167,5397,Amana
909586,5407,Williamsburg
911634,5408,Marshalltown
955601,5395,Grimes
963905,9031,Earling
974637,5434,West Burlington
979974,5432,Bondurant
990439,5437,Monticello
996571,9931,Earling
1001304,5436,Davenport
1050009,9932,Dubuque
1050010,9022,Davenport
1050013,9922,Davenport
1066952,5439,Mount Pleasant
1071020,5440,Missouri Valley
1117913,5435,Hartley
1118455,5446,Rock Valley
1120506,5443,Des Moines
1123472,5445,Iowa City
1127472,5441,Cherokee
1191149,5444,Marshalltown
1289436,5449,Cedar Rapids
1341014,5453,Griswold
1408933,5433,ClearLake
1420968,2674,Lamoni
1424553,5448,Fort Madison
1428844,5458,Doon
1459154,5447,Raymond
1462005,5456,Oelwein
1462081,5455,Oelwein
1493695,5465,Ames
1502950,5462,Cedar Rapids
1510191,5466,Des Moines
1512977,5454,Clarion
1522726,5464,Manson
1527729,5450,Fort Dodge
1572348,5461,Rockwell City
1576838,5457,Whittemore
1597031,5379,Kanawha
1604326,5470,Muscatine
1606020,5451,Sheldon
1638267,5463,Decorah
1641692,5471,Boone
1654301,5460,Coralville
1658942,5474,Waterloo
1684645,5473,Marion
1691340,5480,Orange City
1725974,5459,Corning
1726803,5452,Decorah
1727166,5477,Marquette
1734188,5482,Davenport
1778142,5472,Evansdale
1790797,5481,Cedar Rapids
1793249,5487,Waterloo
1796852,5476,Eldridge
1807891,5475,Cedar Falls
1815681,5491,Ackley
1824409,5478,Burlington
1852557,5490,Rockwell
1858274,5493,Red Oak
1860970,5485,Story City
1869852,5489,Winfield
1880621,5492,Rockwell City
31,4308,CORALVILLE
41,5166,MARSHALLTOWN
43,4297,CEDAR RAPIDS
57,2290,STORM LAKE
106,5165,LAKE MILLS
206,4576,ARNOLDS PARK
222,3908,FORT MADISON
238,3950,STATE CENTER
241,3986,SIOUX CITY
259,4974,DES MOINES
260,4481,IOWA CITY
263,5123,CLIVE
264,4874,MOUNT PLEASANT
272,4016,CONRAD
288,4827,IOWA CITY
382,4222,EVANSDALE
390,3162,MUSCATINE
406,4360,NEWTON
475,4173,PAULLINA
478,4358,CLARION
485,3766,NEW HAMPTON
565,4670,TRIPOLI
570,4376,MASON CITY
607,4471,WATERLOO
631,2353,CRESCO
697,3573,OTTUMWA
746,3747,SIGOURNEY
747,4283,MARION
780,4177,LE GRAND
901,5160,OTTUMWA
907,3894,CEDAR RAPIDS
913,3785,DES MOINES
922,2152,ROCKWELL
929,3968,MONROE
962,4764,FORT DODGE
1008,4862,KINGSLEY
1070,4615,MASON CITY
1380,4214,WATERLOO
1400,4612,DAVENPORT
1416,5018,DAVENPORT
1468,3947,BROOKLYN
1593,4839,Northwood
1763,5037,JEFFERSON
1787,5130,DAVENPORT
2313,5132,DES MOINES
2349,4164,BETTENDORF
2443,5074,CEDAR RAPIDS
2458,4307,DUNLAP
2949,4426,MARSHALLTOWN
4172,4018,GLADBROOK
4268,4883,SIGOURNEY
4611,3400,DES MOINES
4880,4008,ANTHON
4996,4090,WINTHROP
5081,3972,HUBBARD
5170,4295,DES MOINES
5175,2498,ARLINGTON
5244,5103,MUSCATINE
5589,4357,STORY CITY
5631,4662,CEDAR RAPIDS
5770,3779,FORT DODGE
5910,4987,AMES
6037,4667,BEVINGTON
6081,4561,EVANSDALE
6332,4686,CLINTON
6716,4813,GRAND MOUND
7418,4926,DES MOINES
7684,5137,DES MOINES
8105,4979,CEDAR RAPIDS
8971,4620,FONTANELLE
9178,4451,WEBSTER CITY
9210,4367,MASON CITY
9233,4768,URBANDALE
9442,4430,FORT DODGE
9686,4420,OTTUMWA
9770,4925,URBANDALE
9899,4431,FORT DODGE
10036,5022,WEST DES MOINES
11165,4704,COUNCIL BLUFFS
12464,4445,WEBSTER CITY
12912,5152,WATERLOO
13421,4398,BELMOND
13453,4372,MASON CITY
13489,4957,WALL LAKE
13557,4470,WATERLOO
13677,4742,COUNCIL BLUFFS
14545,5192,ROBINS
15623,4112,NORTH LIBERTY
21131,5095,CARTER LAKE
26471,5047,CEDAR RAPIDS
31823,3655,SIOUX CITY
33970,5066,DUBUQUE
36079,5189,WEST DES MOINES
159264,4961,DUBUQUE
349396,5220,MASON CITY
409406,5178,WEST LIBERTY
808277,4903,Moravia
1859715,9929,Iowa City
1925501,9018,Dubuque
2183787,9930,Raymond
1,2205,CLARINDA
20,5093,LE CLAIRE
69,4881,COON RAPIDS
137,4860,CEDAR RAPIDS
232,2954,DES MOINES
238,5036,CEDAR RAPIDS
271,2959,DES MOINES
328,4288,CEDAR RAPIDS
333,4625,COUNCIL BLUFFS
340,2487,ANAMOSA
349,3437,NORWALK
391,3692,MT VERNON
396,3631,AUDUBON
405,4572,GRUNDY CENTER
520,4812,CHARLES CITY
531,4681,WEST UNION
781,2367,SHENANDOAH
945,3529,CHEROKEE
980,3970,NEVADA
1271,4729,DENISON
1340,3761,LENOX
1457,5053,IOWA CITY
1800,2955,DES MOINES
1966,4276,LAKE MILLS
2041,2958,DES MOINES
2260,5008,EMMETSBURG
2393,2956,DES MOINES
2402,2962,JOHNSTON
2718,4672,GUTTENBERG
2892,4349,DES MOINES
2975,4386,MARSHALLTOWN
3039,2953,DES MOINES
3074,5085,HUDSON
3226,2963,CLIVE
3585,4834,MUSCATINE
3642,5168,CEDAR RAPIDS
4024,5139,WATERLOO
4241,2599,CORALVILLE
4614,5038,WATERLOO
4648,4071,KELLOG
4797,4030,LAKE PARK
5020,2951,CLIVE
5415,5026,NORTH ENGLISH
5818,3925,NORTH LIBERTY
7110,4432,CORALVILLE
7466,4691,IOWA FALLS
7561,4683,WATERLOO
7792,4322,BAXTER
8078,4085,WATERLOO
8160,4567,DES MOINES
8212,4920,JOHNSTON
8651,4776,CARROLL
10838,4990,GRISWOLD
10947,4188,HOLY CROSS
11055,4012,DES MOINES
11149,2961,WEST DES MOINES
11524,3440,DES MOINES
12533,5030,WATERLOO
12615,4889,DES MOINES
13123,3451,DEWITT
15257,4335,INWOOD
15790,4586,ROCKWELL CITY
16732,4583,MANSON
18014,5033,WATERLOO
21172,3864,SCHALLER
21278,4939,URBANDALE
24269,4425,COUNCIL BLUFFS
25969,4870,BETTENDORF
27962,4270,OTTUMWA
30164,4488,CEDAR RAPIDS
36446,4121,WAPELLO
47886,3969,GREENFIELD
50175,4954,URBANDALE
54162,5084,CEDAR RAPIDS
54233,5136,DES MOINES
65726,5032,DES MOINES
65871,4486,OKOBOJI
75527,4059,BELLE PLAINE
57,4117,ARNOLDS PARK
188,2964,ANKENY
208,4616,SPENCER
238,4075,WATERLOO
317,4963,DURANT
407,4381,WILLIAMSBURG
419,4964,WILTON
489,4007,OSSIAN
523,4340,AMES
549,3352,MANCHESTER
556,4108,DES MOINES
635,3614,IDA GROVE
652,4403,Windsor Heights
667,4221,WATERLOO
692,3797,DAVENPORT
1069,2537,FORT DODGE
1169,5049,WAVERLY
1253,4835,CEDAR RAPIDS
1360,4181,DUBUQUE
1387,4093,FORT DODGE
1663,4099,FLOYD
1676,4005,LANSING
1866,4931,HUDSON
2031,3962,HARLAN
2074,3791,JEFFERSON
2118,2510,CEDAR RAPIDS
2234,4036,WATERLOO
2295,2659,CORYDON
2401,4072,DAVENPORT
2507,4772,WEST DES MOINES
2533,4574,WHITTEMORE
2609,3994,ARNOLDS PARK
3605,3616,LAURENS
3606,4875,CEDAR FALLS
3654,4332,DES MOINES
3857,4050,WATERLOO
4026,2583,WASHINGTON
4220,3798,HAWARDEN
4311,2960,WEST DES MOINES
4533,3915,SAC CITY
4565,2638,CEDAR FALLS
4629,3847,WATERLOO
4764,4976,SIOUX CITY
5167,3976,NORTH ENGLISH
5678,3615,EMMETSBURG
6589,4951,CEDAR RAPIDS
6749,4955,MASON CITY
7025,4465,POMEROY
7598,4928,DES MOINES
9681,4139,DES MOINES
10042,4865,ROLFE
10177,4994,WATERLOO
11599,4966,STORM LAKE
12816,4936,TREYNOR
12973,4946,WATERLOO
14023,4225,MARSHALLTOWN
16218,4977,SIOUX CITY
18607,3534,ALTA VISTA
19036,4693,CEDAR RAPIDS
19121,4784,CEDAR RAPIDS
22149,4618,CEDAR RAPIDS
25654,4494,SIOUX CITY
26026,4029,COLESBURG
29237,4906,CEDAR RAPIDS
41249,4101,CAMBRIDGE
41560,4646,FAIRBANK
43722,4632,DES MOINES
44074,3003,LAKE CITY
47180,3536,EAGLE GROVE
47299,4095,WATERLOO
85682,5016,CEDAR RAPIDS
98339,4441,Garnavillo
110057,4965,STORM LAKE
127265,4460,Monona
138419,4816,SHENANDOAH
140964,4534,PRESTON
166798,4331,WEST UNION
283043,4871,HARPERS FERRY
1568970,9014,Holstein
2,3929,WATERLOO
11,4187,SIBLEY
89,4564,DURANT
134,4758,STORM LAKE
290,3583,CORYDON
370,3878,CEDAR FALLS
410,4526,DAVENPORT
457,4219,CLEAR LAKE
562,4593,ROCK VALLEY
565,4581,CEDAR FALLS
599,4833,MURRAY
643,3482,CARROLL
675,4257,WATERLOO
737,4347,BLUE GRASS
808,2503,ANKENY
887,3016,DENVER
891,3531,OSAGE
993,3885,INDEPENDENCE
1066,4649,COUNCIL BLUFFS
1234,4484,WEST LIBERTY
1330,3911,WILLIAMSBURG
1545,4302,DES MOINES
1552,4442,ALTON
1643,4348,WILTON
1807,4035,CEDAR FALLS
1810,3697,DUBUQUE
1910,4809,NASHUA
1952,4327,HIAWATHA
2034,4894,DAVENPORT
2057,2664,CHARLES CITY
2195,4814,WATERLOO
2539,3895,BURLINGTON
2708,4304,DES MOINES
2788,4328,DECORAH
2839,4076,DAVENPORT
3224,4606,SIOUX CITY
3355,4294,WEBSTER CITY
3709,4043,BURLINGTON
3748,4614,URBANDALE
3895,4886,CEDAR RAPIDS
4082,4851,CEDAR RAPIDS
4213,4078,CEDAR FALLS
4342,4850,CEDAR RAPIDS
4830,4080,CEDAR FALLS
5061,3492,ROCKWELL CITY
5311,4922,MARSHALLTOWN
5508,4109,DES MOINES
6944,2422,DES MOINES
7750,4044,BURLINGTON
10008,4341,GRISWOLD
10410,4826,ALBIA
11178,3734,PRIMGHAR
14337,4422,STUART
16977,4671,WATERLOO
22894,4822,OSKALOOSA
25837,4680,DES MOINES
28562,3725,ARMSTRONG
28681,4916,OTTUMWA
30461,4033,MCGREGOR
31219,4918,STORM LAKE
36699,4052,SERGEANT BLUFF
46612,4113,COUNCIL BLUFFS
51325,4832,CLARINDA
53421,4215,WATERLOO
78341,3812,STORM LAKE
95189,4333,WATERLOO
95261,4570,SPENCER
113614,4815,SHENANDOAH
479107,3543,KINGSLEY
1382902,9017,Keosauqua
27,3906,BURLINGTON
53,2534,URBANDALE
154,3480,SPENCER
208,4280,LE CLAIRE
224,2132,WEST UNION
261,3760,DAVENPORT
305,4483,IOWA CITY
334,2645,MUSCATINE
351,4309,COUNCIL BLUFFS
637,2511,CEDAR RAPIDS
686,4094,AMES
704,4038,DENISON
763,4639,FORT DODGE
808,4399,WAUKEE
896,4039,COUNCIL BLUFFS
939,3852,CEDAR RAPIDS
1203,2634,AMES
1217,4049,GLENWOOD
1231,4040,COUNCIL BLUFFS
1245,4763,CEDAR RAPIDS
1324,4282,CEDAR RAPIDS
1421,4363,OSCEOLA
1459,4330,NEWTON
1583,3554,TRIPOLI
1612,4666,ALTOONA
1701,4469,COON RAPIDS
1931,4329,ALTOONA
2007,4115,DES MOINES
2036,4218,WATERLOO
2351,4262,CARROLL
2464,4391,GREENFIELD
2518,4041,CLINTON
2617,4394,HARLAN
2642,4144,CHARLES CITY
2751,4350,MARSHALLTOWN
2975,3064,ADEL
3325,4066,INDIANOLA
4035,4550,WATERLOO
4153,3642,WEST POINT
4185,4213,CLINTON
4263,3596,CHESTER
4280,4323,FORT DODGE
4297,2161,FT. ATKINSON
4571,4352,CRESTON
4774,4383,CRESTON
6379,4259,OSKALOOSA
6609,4579,GRAND MOUND
8200,4400,OSKALOOSA
8476,4389,ALBIA
8800,4026,SIOUX CITY
10576,4390,CLARINDA
10958,3530,PRIMGHAR
11644,3569,BUSSEY
12737,3172,CLEAR LAKE
14753,4174,FORT MADISON
15430,4682,PLEASANTVILLE
29905,4407,KNOXVILLE
36483,4354,SHENANDOAH
37582,3832,ALVORD
44455,2260,PERRY
140583,4226,WAUKON
142813,4830,CLIVE
143579,4314,FONTANELLE
