,Cost Total
472,75.6
473,75.6
474,63.599999999999994
475,75.6
476,39.0
477,39.0
478,39.0
479,78.0
480,39.0
481,39.0
482,39.0
483,39.0
484,39.0
485,39.0
486,78.0
487,39.0
488,39.0
489,39.0
490,39.0
491,39.0
492,39.0
493,39.0
494,39.0
495,39.0
496,39.0
497,39.0
498,39.0
499,39.0
500,39.0
501,39.0
502,39.0
503,39.0
504,39.0
505,39.0
506,39.0
507,39.0
508,39.0
509,39.0
510,324.0
511,312.96
512,312.96
513,324.0
514,312.96
515,108.96000000000001
516,108.96000000000001
517,108.96000000000001
518,7.92
519,7.92
520,7.92
521,15.84
522,7.92
523,7.92
524,15.84
525,4278.0
526,42.78
527,85.56
528,171.12
529,128.34
530,128.34
531,42.78
532,85.56
533,42.78
534,85.56
535,85.56
536,128.34
537,128.34
538,42.78
539,42.78
540,85.56
541,171.12
542,85.56
543,42.78
544,128.34
545,128.34
546,60.0
547,120.0
548,300.0
549,1200.0
550,60.0
551,60.0
552,1200.0
553,120.0
554,60.0
555,120.0
556,120.0
557,600.0
558,60.0
559,60.0
560,600.0
561,35.46
562,58.92
563,29.46
564,106.38
565,70.92
566,35.46
567,35.46
568,35.46
569,182.16
570,91.08
571,95.52
572,95.52
573,95.52
574,91.08
575,95.52
576,95.52
577,86.52
578,86.52
579,95.52
580,95.52
581,191.04
582,95.52
583,95.52
584,95.52
585,86.52
586,95.52
587,136.44
588,45.480000000000004
589,45.480000000000004
590,45.480000000000004
591,45.480000000000004
592,45.480000000000004
593,45.480000000000004
594,90.96000000000001
595,45.480000000000004
596,45.480000000000004
597,45.480000000000004
598,45.480000000000004
599,45.480000000000004
600,45.480000000000004
601,45.480000000000004
602,45.480000000000004
603,45.480000000000004
604,45.480000000000004
605,40.68
606,40.68
607,40.68
608,40.68
609,40.68
610,40.68
611,40.68
612,40.68
613,40.68
614,91.08
615,91.08
616,95.52
617,215.64
618,215.64
619,215.64
620,203.64
621,215.64
622,215.64
623,215.64
624,203.64
625,215.64
626,70.32000000000001
627,70.32000000000001
628,81.84
629,76.56
630,76.56
631,18.98
632,113.88
633,113.88
634,113.88
635,84.0
636,84.0
637,84.0
638,84.0
639,84.0
640,84.0
641,84.0
642,75.96000000000001
643,84.0
644,0.0
645,132.84
646,44.28
647,44.28
648,44.28
649,44.28
650,44.28
651,44.28
652,44.28
653,88.56
654,44.28
655,44.28
656,44.28
657,44.28
658,95.52
659,95.52
660,95.52
661,95.52
662,86.52
663,95.52
664,95.52
665,95.52
666,95.52
667,95.52
668,91.08
669,95.52
670,86.52
671,95.52
672,91.08
673,95.52
674,91.08
675,86.52
676,95.52
677,95.52
678,86.52
679,86.52
680,91.08
681,102.0
682,102.0
683,102.0
684,102.0
685,102.0
686,99.0
687,102.0
688,102.0
689,102.0
690,102.0
691,102.0
692,102.0
693,3366.0
694,306.0
695,102.0
696,99.0
697,102.0
698,102.0
699,99.0
700,297.0
701,102.0
702,99.0
703,99.0
704,204.0
705,92.28
706,92.28
707,92.28
708,41.22
709,164.88
710,206.1
711,41.22
712,41.22
713,82.44
714,41.22
715,41.22
716,82.44
717,82.44
718,83.03999999999999
719,41.22
720,41.519999999999996
721,41.22
722,247.32
723,166.07999999999998
724,41.22
725,41.22
726,41.22
727,82.44
728,41.22
729,41.22
730,41.22
731,82.44
732,41.22
733,41.22
734,41.22
735,41.22
736,82.44
737,41.22
738,41.22
739,41.22
740,83.03999999999999
741,103.92
742,103.92
743,103.92
744,103.92
745,103.92
746,103.92
747,103.92
748,103.92
749,103.92
750,103.92
751,207.84
752,103.92
753,1870.56
754,103.92
755,103.92
756,103.92
757,103.92
758,1350.96
759,103.92
760,107.64000000000001
761,103.92
762,1076.4
763,103.92
764,103.92
765,207.84
766,92.4
767,46.2
768,49.199999999999996
769,49.199999999999996
770,98.39999999999999
771,49.199999999999996
772,49.199999999999996
773,49.199999999999996
774,49.199999999999996
775,49.199999999999996
776,49.199999999999996
777,49.199999999999996
778,98.39999999999999
779,49.199999999999996
780,49.199999999999996
781,46.2
782,49.199999999999996
783,147.6
784,49.199999999999996
785,98.39999999999999
786,147.6
787,49.199999999999996
788,49.199999999999996
789,49.199999999999996
790,147.6
791,92.4
792,92.4
793,98.39999999999999
794,11.82
795,5.91
796,5.91
797,5.91
798,5.91
799,11.82
800,95.52
801,31.84
802,95.52
803,86.52
804,61.199999999999996
805,55.56
806,61.199999999999996
807,55.199999999999996
808,61.199999999999996
809,142.8
810,89.52
811,44.76
812,44.76
813,44.76
814,89.52
815,44.76
816,44.76
817,89.52
818,44.76
819,89.52
820,44.76
821,89.52
822,44.76
823,44.76
824,44.76
825,44.76
826,44.76
827,44.76
828,89.52
829,89.52
830,89.52
831,44.76
832,44.76
833,44.76
834,44.76
835,44.76
836,44.76
837,44.76
838,44.76
839,44.76
840,89.52
841,89.52
842,44.76
843,44.76
844,179.04
845,89.52
846,44.76
847,44.76
848,89.52
849,44.76
850,89.52
851,89.52
852,102.0
853,105.0
854,101.94
855,105.0
856,101.39999999999999
857,105.0
858,105.0
859,102.0
860,98.94
861,105.0
862,101.94
863,101.94
864,98.94
865,102.0
866,40.44
867,40.44
868,40.44
869,40.44
870,40.44
871,40.44
872,40.44
873,40.44
874,40.44
875,40.44
876,40.44
877,40.44
878,40.44
879,40.44
880,27.6
881,82.80000000000001
882,82.80000000000001
883,82.80000000000001
884,82.80000000000001
885,82.80000000000001
886,39.72
887,39.72
888,39.72
889,40.44
890,39.72
891,40.8
892,39.72
893,39.72
894,39.72
895,39.72
896,39.72
