,Cost Total
18165,41.25
18166,27.5
18167,28.84
18168,18.0
18169,41.519999999999996
18170,41.519999999999996
18171,41.519999999999996
18172,43.2
18173,41.519999999999996
18174,41.519999999999996
18175,41.519999999999996
18176,41.519999999999996
18177,41.519999999999996
18178,41.519999999999996
18179,65.28
18180,65.28
18181,27.200000000000003
18182,16.32
18183,65.28
18184,115.56
18185,127.56
18186,154.32
18187,107.39999999999999
18188,107.39999999999999
18189,107.39999999999999
18190,107.39999999999999
18191,107.39999999999999
18192,107.39999999999999
18193,54.510000000000005
18194,159.96
18195,168.0
18196,168.0
18197,159.96
18198,45.480000000000004
18199,45.480000000000004
18200,45.480000000000004
18201,45.480000000000004
18202,45.480000000000004
18203,45.480000000000004
18204,45.480000000000004
18205,45.480000000000004
18206,45.480000000000004
18207,45.480000000000004
18208,45.480000000000004
18209,45.480000000000004
18210,45.480000000000004
18211,45.480000000000004
18212,45.480000000000004
18213,87.24
18214,87.24
18215,87.24
18216,41.76
18217,41.76
18218,41.76
18219,22.0
18220,130.62
18221,130.62
18222,130.62
18223,130.62
18224,130.62
18225,130.62
18226,130.62
18227,132.0
18228,65.76
18229,65.76
18230,210.0
18231,210.0
18232,201.12
18233,210.0
18234,210.0
18235,210.0
18236,210.0
18237,210.0
18238,101.76
18239,101.76
18240,101.76
18241,101.76
18242,101.76
18243,101.76
18244,101.76
18245,101.76
18246,19.5
18247,81.0
18248,119.76
18249,119.76
18250,87.0
18251,80.88
18252,87.0
18253,83.88
18254,19.47
18255,95.76
18256,95.76
18257,102.72
18258,95.76
18259,95.76
18260,95.76
18261,191.52
18262,95.76
18263,95.76
18264,95.76
18265,95.76
18266,95.76
18267,102.72
18268,102.72
18269,52.800000000000004
18270,52.800000000000004
18271,52.800000000000004
18272,52.800000000000004
18273,52.800000000000004
18274,33.45
18275,20.07
18276,17.07
18277,56.88
18278,14.22
18279,47.400000000000006
18280,56.88
18281,56.88
18282,56.88
18283,41.76
18284,41.76
18285,41.76
18286,41.76
18287,41.76
18288,41.76
18289,41.76
18290,83.88
18291,87.0
18292,83.88
18293,84.0
18294,87.0
18295,66.12
18296,66.12
18297,66.12
18298,66.12
18299,66.12
18300,66.12
18301,66.12
18302,66.12
18303,66.12
18304,29.34
18305,103.19999999999999
18306,103.19999999999999
18307,103.19999999999999
18308,103.19999999999999
18309,103.19999999999999
18310,103.19999999999999
18311,103.19999999999999
18312,103.19999999999999
18313,120.0
18314,120.0
18315,120.0
18316,30.0
18317,120.0
18318,20.0
18319,223.92000000000002
18320,150.0
18321,37.5
18322,45.599999999999994
18323,45.599999999999994
18324,45.599999999999994
18325,45.599999999999994
18326,45.599999999999994
18327,45.599999999999994
18328,45.599999999999994
18329,45.599999999999994
18330,45.599999999999994
18331,45.599999999999994
18332,45.599999999999994
18333,45.599999999999994
18334,45.599999999999994
18335,45.599999999999994
18336,24.4
18337,14.64
18338,9.76
18339,119.16
18340,95.64
18341,95.64
18342,165.35999999999999
18343,84.0
18344,84.0
18345,84.0
18346,84.0
18347,84.0
18348,84.0
18349,80.16
18350,84.0
18351,84.0
18352,84.0
18353,53.760000000000005
18354,53.760000000000005
18355,53.760000000000005
18356,54.239999999999995
18357,53.760000000000005
18358,107.52000000000001
18359,53.760000000000005
18360,53.760000000000005
18361,108.47999999999999
18362,53.760000000000005
18363,53.760000000000005
18364,53.760000000000005
18365,53.760000000000005
18366,53.760000000000005
18367,53.760000000000005
18368,65.88
18369,144.48
18370,138.96
18371,138.96
18372,138.96
18373,28.02
18374,9.34
18375,28.02
18376,28.02
18377,28.02
18378,28.02
18379,23.35
18380,169.68
18381,63.63
18382,63.63
18383,89.64
18384,89.64
18385,89.64
18386,22.41
18387,132.24
18388,119.64000000000001
18389,20.759999999999998
18390,83.03999999999999
18391,16.5
18392,27.5
18393,66.0
18394,11.0
18395,14.91
18396,41.65
18397,249.95999999999998
18398,249.95999999999998
18399,129.84
18400,129.84
18401,170.04
18402,170.04
18403,176.28
18404,176.28
18405,167.76
18406,167.76
18407,83.88
18408,83.88
18409,85.67999999999999
18410,83.88
18411,83.88
18412,83.88
18413,83.88
18414,85.67999999999999
18415,83.88
18416,83.88
18417,83.88
18418,85.67999999999999
18419,83.88
18420,83.88
18421,83.88
18422,167.76
18423,85.67999999999999
18424,85.67999999999999
18425,42.96
18426,42.96
18427,42.96
18428,42.96
18429,42.96
18430,42.96
18431,47.04
18432,42.96
18433,42.96
18434,42.96
18435,47.04
18436,42.96
18437,94.08
18438,133.38
18439,75.48
18440,75.48
18441,44.94
18442,22.47
18443,79.19999999999999
18444,39.599999999999994
18445,39.599999999999994
18446,79.19999999999999
18447,79.19999999999999
18448,39.599999999999994
18449,79.19999999999999
18450,39.599999999999994
18451,79.19999999999999
18452,79.19999999999999
18453,39.599999999999994
18454,39.599999999999994
18455,39.599999999999994
18456,39.599999999999994
18457,39.599999999999994
18458,39.599999999999994
18459,39.599999999999994
18460,79.19999999999999
18461,39.599999999999994
18462,39.599999999999994
18463,39.599999999999994
18464,79.19999999999999
18465,39.599999999999994
18466,48.480000000000004
18467,48.480000000000004
18468,48.480000000000004
18469,48.480000000000004
18470,48.480000000000004
18471,141.84
18472,136.07999999999998
18473,141.84
18474,41.28
18475,41.28
18476,41.28
18477,420.0
18478,105.0
18479,105.0
18480,105.0
18481,210.0
18482,105.0
18483,115.80000000000001
18484,48.25
18485,62.519999999999996
18486,77.34
18487,27.78
18488,111.0
18489,222.0
18490,111.0
18491,111.0
18492,111.0
18493,111.0
18494,107.82
18495,111.0
18496,107.82
18497,107.82
18498,107.82
18499,163.56
18500,163.56
18501,20.25
18502,145.44
18503,151.2
18504,145.44
18505,151.2
18506,151.2
18507,145.44
18508,151.2
18509,151.2
18510,145.44
18511,145.44
18512,137.88
18513,320.64
18514,49.199999999999996
18515,49.199999999999996
18516,49.199999999999996
18517,49.199999999999996
18518,49.199999999999996
18519,49.199999999999996
18520,70.08
18521,100.19999999999999
18522,82.80000000000001
18523,20.25
18524,114.0
18525,108.72
18526,108.72
18527,108.72
18528,108.72
18529,114.0
18530,108.72
18531,81.0
18532,162.0
18533,81.0
18534,46.56
18535,46.56
18536,288.0
18537,289.04
18538,60.900000000000006
18539,60.900000000000006
18540,47.28
18541,47.28
18542,47.28
18543,47.28
18544,47.28
18545,47.76
18546,72.0
18547,72.0
18548,72.0
18549,72.0
18550,12.6
18551,75.6
18552,58.08
18553,57.599999999999994
18554,150.0
18555,150.0
18556,83.88
18557,83.88
18558,83.88
18559,83.88
18560,83.88
18561,83.88
18562,83.88
18563,19.89
18564,39.78
18565,33.15
18566,19.89
18567,39.78
18568,48.96
18569,48.96
18570,110.88
18571,18.48
18572,73.67999999999999
18573,73.67999999999999
18574,73.67999999999999
18575,73.67999999999999
18576,73.67999999999999
18577,147.35999999999999
18578,73.67999999999999
18579,73.67999999999999
18580,73.67999999999999
18581,73.67999999999999
18582,73.67999999999999
18583,73.67999999999999
18584,73.67999999999999
18585,73.67999999999999
18586,73.67999999999999
18587,73.67999999999999
18588,73.67999999999999
18589,73.67999999999999
18590,73.67999999999999
18591,73.67999999999999
18592,73.67999999999999
18593,75.6
18594,18.9
18595,181.8
18596,118.08
18597,118.08
18598,118.08
18599,118.08
18600,166.14000000000001
18601,160.02
18602,166.14000000000001
18603,160.02
18604,163.02
18605,166.14000000000001
18606,166.14000000000001
18607,163.02
18608,160.02
18609,166.14000000000001
18610,160.02
18611,166.14000000000001
18612,163.02
18613,107.82
18614,111.0
18615,111.0
18616,111.0
18617,111.0
18618,111.0
18619,107.82
18620,111.0
18621,107.82
18622,37.32
18623,37.32
18624,99.52
18625,99.52
18626,95.52
18627,86.52
18628,86.52
18629,28.84
18630,23.37
18631,108.0
18632,108.0
18633,108.0
18634,108.0
18635,103.19999999999999
18636,108.0
18637,103.19999999999999
18638,103.19999999999999
18639,103.19999999999999
18640,108.0
18641,103.19999999999999
18642,216.0
18643,108.0
18644,108.0
18645,108.0
18646,108.0
18647,103.19999999999999
18648,103.19999999999999
18649,103.19999999999999
18650,103.19999999999999
18651,108.0
18652,65.88
18653,65.88
18654,65.88
18655,62.88
18656,62.88
18657,96.0
18658,93.6
18659,96.0
18660,96.0
18661,96.0
18662,62.519999999999996
18663,62.519999999999996
18664,62.519999999999996
18665,62.519999999999996
18666,31.259999999999998
18667,48.0
18668,48.0
18669,49.199999999999996
18670,49.199999999999996
18671,48.0
18672,48.0
18673,48.0
18674,49.199999999999996
18675,55.67999999999999
18676,240.0
18677,240.0
18678,240.0
18679,240.0
18680,174.0
18681,174.0
18682,174.0
18683,150.0
18684,82.80000000000001
18685,82.80000000000001
18686,90.0
18687,82.80000000000001
18688,82.80000000000001
18689,90.0
18690,90.0
18691,44.160000000000004
18692,44.160000000000004
18693,44.160000000000004
18694,44.160000000000004
18695,44.76
18696,44.76
18697,125.88
18698,31.47
18699,67.26
18700,67.26
18701,67.26
18702,33.63
18703,51.96
18704,51.96
18705,51.96
18706,51.96
18707,103.92
18708,51.96
18709,51.96
18710,51.96
18711,75.6
18712,103.80000000000001
18713,105.0
18714,54.54
18715,54.54
18716,52.38
18717,27.72
18718,15.92
18719,95.52
18720,120.0
18721,120.0
18722,79.5
18723,94.44
18724,94.44
18725,23.61
18726,94.44
18727,24.509999999999998
18728,98.03999999999999
18729,24.509999999999998
18730,30.0
18731,63.0
18732,63.0
18733,68.52
18734,17.13
18735,76.44
18736,32.67
18737,130.68
18738,106.44
18739,33.0
18740,168.0
18741,69.0
18742,260.04
18743,43.34
18744,65.01
18745,60.12
18746,194.64
18747,70.80000000000001
18748,70.80000000000001
18749,70.80000000000001
18750,70.80000000000001
18751,70.80000000000001
18752,70.80000000000001
18753,70.80000000000001
18754,70.80000000000001
18755,43.2
18756,42.24
18757,42.24
18758,42.24
18759,42.24
18760,84.48
18761,42.24
18762,42.24
18763,42.24
18764,43.2
18765,42.24
18766,42.24
18767,84.48
18768,84.48
18769,86.4
18770,86.4
18771,42.24
18772,43.2
18773,42.24
18774,42.24
18775,42.24
18776,42.24
18777,42.24
18778,42.24
18779,84.48
18780,43.2
18781,129.6
18782,42.24
18783,42.24
18784,42.24
18785,42.24
18786,81.0
18787,81.0
18788,81.0
18789,31.25
18790,39.72
18791,40.8
18792,40.8
18793,39.72
18794,39.72
18795,39.72
18796,39.72
18797,39.72
18798,39.72
18799,39.72
18800,240.0
18801,60.0
18802,29.4
18803,140.82
18804,67.67999999999999
18805,67.67999999999999
18806,67.67999999999999
18807,67.67999999999999
18808,67.67999999999999
18809,67.67999999999999
18810,67.67999999999999
18811,11.91
18812,47.64
18813,148.32
18814,24.8
18815,49.6
18816,49.6
18817,49.6
18818,43.44
18819,162.48
18820,156.12
18821,26.02
18822,39.03
18823,76.26
18824,12.24
18825,47.76
18826,49.56
18827,47.76
18828,47.76
18829,47.76
18830,47.76
18831,47.76
18832,95.52
18833,47.76
18834,47.76
18835,99.12
18836,95.52
18837,95.52
18838,47.76
18839,47.76
18840,47.76
18841,47.76
18842,60.0
18843,122.88
18844,81.24
18845,81.24
18846,32.67
18847,33.0
18848,70.32000000000001
18849,70.32000000000001
18850,70.32000000000001
18851,77.28
18852,70.32000000000001
18853,77.28
18854,70.32000000000001
18855,173.76
18856,176.64000000000001
18857,176.64000000000001
18858,353.28000000000003
18859,58.08
18860,47.76
18861,174.0
18862,174.0
18863,171.0
18864,342.0
18865,171.0
18866,42.96
18867,42.96
18868,42.96
18869,42.96
18870,42.96
18871,82.80000000000001
18872,82.80000000000001
18873,34.5
18874,82.80000000000001
18875,34.5
18876,82.80000000000001
18877,75.48
18878,75.48
18879,75.48
18880,75.48
18881,75.48
18882,75.48
18883,75.48
18884,75.48
18885,10.26
18886,106.26
18887,212.52
18888,124.68
18889,81.6
18890,81.6
18891,161.52
18892,161.52
18893,18.63
18894,99.96000000000001
18895,62.519999999999996
18896,31.259999999999998
18897,27.21
18898,27.21
18899,116.52000000000001
18900,104.22
18901,110.22
18902,110.22
18903,110.22
18904,110.22
18905,151.92000000000002
18906,65.28
18907,41.22
18908,41.22
18909,27.48
18910,360.0
18911,120.0
18912,120.0
18913,120.0
18914,120.0
18915,120.0
18916,36.05
18917,23.88
18918,23.88
18919,23.88
18920,21.63
18921,222.0
18922,146.5
18923,29.3
18924,63.0
18925,32.66
18926,97.97999999999999
18927,65.88
18928,65.88
18929,65.88
18930,65.88
18931,27.72
18932,15.92
18933,23.88
18934,21.63
18935,43.68
18936,43.68
18937,43.68
18938,31.5
18939,25.2
18940,39.300000000000004
18941,15.72
18942,23.580000000000002
18943,35.94
18944,72.0
18945,72.0
18946,40.0
18947,200.0
18948,53.519999999999996
18949,53.519999999999996
18950,53.519999999999996
18951,53.519999999999996
18952,53.519999999999996
18953,107.03999999999999
18954,53.519999999999996
18955,53.519999999999996
18956,53.519999999999996
18957,53.519999999999996
18958,53.519999999999996
18959,63.0
18960,63.0
18961,68.28
18962,36.05
18963,42.480000000000004
18964,42.480000000000004
18965,40.019999999999996
18966,43.68
18967,52.980000000000004
18968,58.08
18969,51.449999999999996
18970,119.76
18971,13.620000000000001
18972,50.400000000000006
18973,50.400000000000006
18974,50.400000000000006
18975,50.400000000000006
18976,50.400000000000006
18977,105.0
18978,105.0
18979,120.0
18980,240.0
18981,240.0
18982,133.92000000000002
18983,44.04
18984,38.339999999999996
18985,44.76
18986,18.65
18987,44.76
18988,44.76
18989,44.76
18990,44.76
18991,44.76
18992,44.76
18993,99.0
18994,96.24
18995,72.48
18996,72.48
18997,72.48
18998,72.48
18999,72.48
19000,137.39999999999998
19001,137.39999999999998
19002,137.39999999999998
19003,37.45
19004,22.47
19005,43.86
19006,43.86
19007,43.86
19008,43.86
19009,43.86
19010,43.86
19011,43.86
19012,43.86
19013,43.86
19014,43.86
19015,43.86
19016,43.86
19017,43.86
19018,43.86
19019,43.86
19020,43.86
19021,90.36
19022,90.36
19023,90.36
19024,100.92
19025,88.92
19026,167.88
19027,27.98
19028,352.56
19029,94.44
19030,94.44
19031,149.52
19032,156.24
19033,149.52
19034,149.52
19035,156.24
19036,156.24
19037,156.24
19038,156.24
19039,156.24
19040,156.24
19041,156.24
19042,75.0
19043,60.0
19044,102.24
19045,55.32000000000001
19046,33.88
19047,95.52
19048,22.77
19049,18.9
19050,75.6
19051,20.61
19052,23.61
19053,15.74
19054,26.759999999999998
19055,57.96
19056,14.49
19057,19.5
19058,78.0
19059,78.0
19060,65.4
19061,65.4
19062,60.12
19063,60.12
19064,66.12
19065,60.12
19066,82.80000000000001
19067,82.80000000000001
19068,82.80000000000001
19069,82.80000000000001
19070,21.63
19071,23.88
19072,183.0
19073,138.48
19074,85.98
19075,195.95999999999998
19076,30.42
19077,21.78
19078,30.42
19079,114.0
19080,157.32
19081,62.519999999999996
19082,65.88
19083,65.88
19084,63.78
19085,65.88
19086,65.88
19087,65.88
19088,65.88
19089,65.88
19090,65.88
19091,65.88
19092,65.88
19093,62.88
19094,62.88
19095,62.88
19096,62.88
19097,65.88
19098,65.88
19099,31.259999999999998
19100,62.519999999999996
19101,62.519999999999996
19102,62.519999999999996
19103,14.850000000000001
19104,59.400000000000006
19105,53.94
19106,33.0
19107,32.67
19108,44.0
19109,37.0
19110,100.80000000000001
19111,71.94
19112,51.96
19113,51.96
19114,51.96
19115,51.96
19116,51.96
19117,51.96
19118,51.96
19119,51.96
19120,51.96
19121,51.96
19122,51.96
19123,103.92
19124,51.96
19125,51.96
19126,51.96
19127,103.92
19128,51.96
19129,51.96
19130,103.92
19131,107.82
19132,107.82
19133,111.0
19134,63.96
19135,63.96
19136,63.96
19137,63.96
19138,63.96
19139,63.96
19140,63.96
19141,63.96
19142,63.96
19143,63.96
19144,63.96
19145,63.96
19146,63.96
19147,63.96
19148,188.88
19149,13.2
19150,23.5
19151,258.0
19152,195.0
19153,374.15999999999997
19154,56.050000000000004
19155,67.26
19156,28.84
19157,156.3
19158,156.3
19159,154.14000000000001
19160,149.88
19161,30.42
19162,32.67
19163,44.0
19164,33.0
19165,32.67
19166,203.04000000000002
19167,78.0
19168,240.0
19169,246.0
19170,39.35
19171,21.78
19172,55.0
19173,131.76
19174,131.76
19175,131.76
19176,131.76
19177,11.82
19178,11.82
19179,189.12
19180,76.19999999999999
19181,76.19999999999999
19182,98.52000000000001
19183,102.0
19184,25.5
19185,40.32
19186,40.32
19187,78.0
19188,78.0
19189,42.36
19190,43.980000000000004
19191,42.36
19192,42.36
19193,84.72
19194,42.36
19195,43.980000000000004
19196,23.88
19197,23.88
19198,23.88
19199,54.0
19200,54.0
19201,102.0
19202,102.0
19203,54.0
19204,84.0
19205,34.08
19206,34.08
19207,34.08
19208,34.08
19209,34.08
19210,34.08
19211,34.08
19212,34.08
19213,34.08
19214,121.5
19215,121.5
19216,121.5
19217,121.5
19218,121.5
19219,121.5
19220,75.0
19221,185.82
19222,156.0
19223,87.24
19224,84.48
19225,99.96000000000001
19226,279.71999999999997
19227,50.400000000000006
19228,74.64
19229,164.76
19230,131.28
19231,103.92
19232,103.92
19233,103.92
19234,74.76
19235,78.0
19236,75.0
19237,75.0
19238,78.0
19239,75.0
19240,75.0
19241,48.0
19242,48.0
19243,95.03999999999999
19244,120.0
19245,33.03
19246,164.76
19247,84.94999999999999
19248,44.88
19249,80.0
19250,30.42
19251,30.42
19252,21.78
19253,55.0
19254,30.42
19255,30.42
19256,212.39999999999998
19257,19.02
19258,51.96
19259,51.0
19260,102.89999999999999
19261,51.449999999999996
19262,102.89999999999999
19263,67.44
19264,67.44
19265,62.28
19266,21.400000000000002
19267,47.76
19268,154.8
19269,154.8
19270,51.0
19271,25.16
19272,22.5
19273,25.24
19274,75.72
19275,100.96
19276,18.9
19277,42.51
19278,108.84
19279,108.84
19280,15.92
19281,23.88
19282,86.52
19283,60.0
19284,74.16
19285,74.16
19286,74.16
19287,95.28
19288,19.950000000000003
19289,22.47
19290,52.43
19291,204.71999999999997
19292,41.519999999999996
19293,45.839999999999996
19294,46.2
19295,46.2
19296,46.2
19297,46.2
19298,91.32000000000001
19299,20.52
19300,87.96000000000001
19301,87.96000000000001
19302,89.85
19303,48.36
19304,63.36
19305,26.400000000000002
19306,32.67
19307,33.0
19308,44.800000000000004
19309,107.52000000000001
19310,47.64
19311,12.24
19312,20.4
19313,11.91
19314,56.58
19315,51.0
19316,105.92
19317,158.88
19318,17.24
19319,36.0
19320,163.56
19321,14.02
19322,23.88
19323,41.65
19324,24.990000000000002
19325,24.990000000000002
19326,75.0
19327,75.0
19328,25.0
19329,95.52
19330,107.39999999999999
19331,23.88
19332,32.67
19333,55.0
19334,11.0
19335,21.78
19336,145.44
19337,145.44
19338,151.2
19339,60.0
19340,60.84
19341,127.92
19342,102.0
19343,102.0
19344,102.0
19345,97.97999999999999
19346,24.35
19347,20.84
19348,12.48
19349,60.0
19350,9.899999999999999
19351,71.88
19352,24.990000000000002
19353,24.990000000000002
19354,66.12
19355,51.84
19356,18.9
19357,81.6
19358,134.7
19359,10.03
19360,39.96
19361,9.99
19362,17.31
19363,63.599999999999994
19364,17.31
19365,18.0
19366,79.15
19367,47.49
19368,47.49
19369,91.02
19370,24.4
19371,19.52
19372,48.0
19373,75.0
19374,36.0
19375,28.5
19376,114.0
19377,171.0
19378,15.92
19379,23.88
19380,18.9
19381,46.89
19382,45.12
19383,131.76
19384,24.35
19385,24.599999999999998
19386,15.0
19387,5.0
19388,77.94
19389,77.16
19390,20.84
19391,33.0
19392,47.28
19393,47.28
19394,11.34
19395,144.84
19396,95.03999999999999
19397,32.67
19398,37.5
19399,36.06
19400,40.5
19401,14.100000000000001
19402,78.0
19403,47.64
19404,23.82
19405,22.47
19406,19.799999999999997
19407,24.35
19408,11.86
19409,71.16
19410,21.78
19411,15.0
19412,12.51
19413,32.5
19414,156.0
19415,19.52
19416,24.4
19417,19.53
19418,78.12
19419,63.599999999999994
19420,181.44
19421,51.36
19422,47.28
19423,47.28
19424,49.92
19425,49.92
19426,29.61
19427,41.28
19428,107.88
19429,115.68
19430,143.76
19431,12.51
19432,47.28
19433,47.28
19434,96.24
19435,121.44
19436,41.28
19437,47.519999999999996
19438,47.519999999999996
19439,109.92
19440,20.04
19441,150.0
19442,144.48
19443,288.96
19444,138.96
19445,144.48
19446,144.48
19447,144.48
19448,138.96
19449,138.96
19450,138.96
19451,138.96
19452,138.96
19453,144.48
19454,138.96
19455,144.48
19456,144.48
19457,144.48
19458,144.48
19459,144.48
19460,144.48
19461,138.96
19462,144.48
19463,144.48
19464,144.48
19465,144.48
19466,138.96
19467,144.48
19468,2022.7199999999998
19469,144.48
19470,138.96
19471,138.96
19472,144.48
19473,144.48
19474,144.48
19475,138.96
19476,76.02
19477,88.02
19478,88.02
19479,76.02
19480,144.0
19481,144.0
19482,144.0
19483,144.0
19484,144.0
19485,144.0
19486,139.44
19487,138.0
19488,138.48
19489,138.48
19490,138.48
19491,138.48
19492,138.48
19493,138.48
19494,138.48
19495,138.48
19496,138.48
19497,138.48
19498,138.48
19499,138.48
19500,6.6
19501,6.6
19502,6.6
19503,13.2
19504,6.6
19505,13.2
19506,13.2
19507,6.6
19508,13.2
19509,6.6
19510,6.6
19511,6.6
19512,59.44
19513,29.72
19514,29.72
19515,29.72
19516,29.72
19517,29.72
19518,29.72
19519,76.26
19520,54.599999999999994
19521,54.599999999999994
19522,46.56
19523,54.599999999999994
19524,54.599999999999994
19525,46.56
19526,54.599999999999994
19527,54.599999999999994
19528,46.56
19529,54.599999999999994
19530,46.56
19531,54.599999999999994
19532,46.56
19533,54.599999999999994
19534,120.0
19535,120.0
19536,120.0
19537,120.0
19538,120.0
19539,120.0
19540,108.0
19541,120.0
19542,144.0
19543,144.0
19544,144.0
19545,144.0
19546,102.47999999999999
19547,108.0
19548,53.91
19549,111.0
19550,75.0
19551,375.0
19552,150.0
19553,75.0
19554,75.0
19555,75.0
19556,75.0
19557,75.0
19558,150.0
19559,75.0
19560,75.0
19561,75.0
19562,750.0
19563,75.0
19564,75.0
19565,150.0
19566,75.0
19567,1725.0
19568,75.0
19569,150.0
19570,75.0
19571,1200.0
19572,75.0
19573,150.0
19574,75.0
19575,125.88
19576,125.88
19577,79.56
19578,79.56
19579,79.56
19580,79.56
19581,238.68
19582,79.56
19583,79.56
19584,79.56
19585,39.0
19586,39.0
19587,78.0
19588,78.0
19589,39.0
19590,117.0
19591,39.0
19592,78.0
19593,78.0
19594,39.0
19595,78.0
19596,39.0
19597,39.0
19598,39.0
19599,78.0
19600,39.0
19601,78.0
19602,117.0
19603,117.0
19604,78.0
19605,78.0
19606,78.0
19607,78.0
19608,117.0
19609,39.0
19610,39.0
19611,39.0
19612,39.0
19613,78.0
19614,78.0
19615,78.0
19616,78.0
19617,78.0
19618,78.0
19619,117.0
19620,39.0
19621,117.0
19622,39.0
19623,78.0
19624,67.56
19625,67.56
19626,743.16
19627,67.56
19628,67.56
19629,135.12
19630,67.56
19631,67.56
19632,67.56
19633,135.12
19634,64.56
19635,67.56
19636,67.56
19637,67.56
19638,67.56
19639,67.56
19640,67.56
19641,64.56
19642,67.56
19643,67.56
19644,129.12
19645,67.56
19646,67.56
19647,135.12
19648,67.56
19649,78.36
19650,78.36
19651,78.36
19652,73.67999999999999
19653,78.36
19654,78.36
19655,78.36
19656,78.36
19657,78.36
19658,78.36
19659,78.36
19660,78.36
19661,78.36
19662,548.52
19663,78.36
19664,78.36
19665,78.36
19666,102.12
19667,102.12
19668,120.12
19669,69.24
19670,69.24
19671,69.24
19672,138.48
19673,69.24
19674,69.24
19675,69.24
19676,138.48
19677,69.24
19678,69.24
19679,69.24
19680,69.24
19681,69.24
19682,69.24
19683,138.48
19684,69.24
19685,138.48
19686,108.47999999999999
19687,108.47999999999999
19688,108.47999999999999
19689,325.43999999999994
19690,108.47999999999999
19691,108.47999999999999
19692,108.47999999999999
19693,325.43999999999994
19694,108.47999999999999
19695,325.43999999999994
19696,63.0
19697,108.47999999999999
19698,54.239999999999995
19699,63.0
19700,108.47999999999999
19701,108.47999999999999
19702,108.47999999999999
19703,108.47999999999999
19704,108.47999999999999
19705,108.47999999999999
19706,63.0
19707,325.43999999999994
19708,542.4
19709,108.47999999999999
19710,108.47999999999999
19711,63.0
19712,108.47999999999999
19713,108.47999999999999
19714,325.43999999999994
19715,39.12
19716,39.12
19717,39.96
19718,39.12
19719,39.12
19720,39.96
19721,39.12
19722,39.12
19723,39.12
19724,39.12
19725,39.12
19726,39.96
19727,39.12
19728,39.12
19729,39.12
19730,39.12
19731,39.12
19732,39.12
19733,39.12
19734,39.12
19735,39.12
19736,39.12
19737,86.94
19738,214.56
19739,49.44
19740,49.44
19741,49.44
19742,49.44
19743,49.44
19744,49.44
19745,49.44
19746,49.44
19747,49.44
19748,49.44
19749,49.44
19750,49.44
19751,49.44
19752,49.44
19753,49.44
19754,49.44
19755,49.44
19756,49.44
19757,49.44
19758,49.44
19759,49.44
19760,49.44
19761,49.44
19762,49.44
19763,73.19999999999999
19764,73.19999999999999
19765,73.19999999999999
19766,59.16
19767,59.16
19768,59.16
19769,59.16
19770,59.16
19771,75.6
19772,75.6
19773,75.6
19774,75.6
19775,63.599999999999994
19776,75.6
19777,75.6
19778,5.3
19779,750.0
19780,78.0
19781,600.0
19782,75.0
19783,75.0
19784,75.0
19785,375.0
19786,78.0
19787,78.0
19788,74.64
19789,78.0
19790,74.64
19791,46.2
19792,46.2
19793,46.2
19794,92.4
19795,46.2
19796,92.4
19797,46.2
19798,46.2
19799,46.2
19800,46.2
19801,46.2
19802,92.4
19803,46.2
19804,46.2
19805,46.2
19806,46.2
19807,46.2
19808,46.2
19809,46.2
19810,46.2
19811,46.2
19812,46.2
19813,46.2
19814,39.03
19815,39.03
19816,32.28
19817,39.03
19818,5820.0
19819,5670.0
19820,5238.0
19821,90.36
19822,90.36
19823,90.36
19824,78.36
19825,90.36
19826,90.36
19827,90.36
19828,78.36
19829,38.04
19830,38.04
19831,38.04
19832,41.28
19833,42.0
19834,87.96000000000001
19835,87.96000000000001
19836,639.84
19837,95.52
19838,95.52
19839,95.52
19840,95.52
19841,139.8
19842,139.8
19843,79.86
19844,82.80000000000001
19845,82.80000000000001
19846,51.599999999999994
19847,51.599999999999994
19848,51.599999999999994
19849,51.599999999999994
19850,51.599999999999994
19851,51.599999999999994
19852,51.599999999999994
19853,51.599999999999994
19854,102.0
19855,207.0
19856,207.0
19857,207.0
19858,207.0
19859,102.35999999999999
19860,207.0
19861,207.0
19862,207.0
19863,207.0
19864,207.0
19865,66.12
19866,66.12
19867,66.12
19868,197.64
19869,197.64
19870,197.64
19871,197.64
19872,49.41
19873,49.41
19874,197.64
19875,46.2
19876,49.199999999999996
19877,49.199999999999996
19878,73.44
19879,73.44
19880,73.44
19881,73.44
19882,73.44
19883,73.44
19884,73.44
19885,73.44
19886,73.44
19887,45.839999999999996
19888,45.839999999999996
19889,45.839999999999996
19890,45.839999999999996
19891,67.08
19892,64.08
19893,64.08
19894,64.08
19895,67.08
19896,67.08
19897,64.08
19898,67.08
19899,67.08
19900,95.52
19901,86.52
19902,86.52
19903,75.6
19904,63.599999999999994
19905,63.599999999999994
19906,75.6
19907,75.6
19908,75.6
19909,5.3
19910,75.6
19911,39.0
19912,39.0
19913,39.0
19914,39.0
19915,39.0
19916,39.0
19917,39.0
19918,39.0
19919,39.0
19920,39.0
19921,39.0
19922,39.0
19923,39.0
19924,39.0
19925,39.0
19926,39.0
19927,39.0
19928,39.0
19929,39.0
19930,39.0
19931,324.0
19932,324.0
19933,312.96
19934,312.96
19935,108.96000000000001
19936,108.96000000000001
19937,15.84
19938,15.84
19939,7.92
19940,7.92
19941,4278.0
19942,128.34
19943,256.68
19944,4278.0
19945,171.12
19946,427.8
19947,171.12
19948,4278.0
19949,213.9
19950,299.46
